Date,x,y,hr,zScore,numUnits,cum rets
2022-02-09 00:00:00-05:00,15.545960426330566,73.58568572998047,-4.220904859739825,2.226,-1.0,0.9980053836666578
2022-02-10 00:00:00-05:00,15.393813133239746,73.25012969970703,-4.233239959601479,2.116,-1.0,0.9971618458111158
2022-02-11 00:00:00-05:00,15.698108673095703,70.87339782714844,-4.24125599012415,0.378,-1.0,1.0247401584145255
2022-02-14 00:00:00-05:00,15.384862899780273,69.14910888671875,-4.245547026427843,0.204,-1.0,1.028174108361088
2022-02-15 00:00:00-05:00,15.223763465881348,70.62174224853516,-4.251194324841419,1.227,-1.0,1.0128748517659316
2022-02-16 00:00:00-05:00,15.331161499023438,70.50990295410156,-4.256544687684259,0.915,-1.0,1.017665656872673
2022-02-17 00:00:00-05:00,15.000017166137695,67.87217712402344,-4.259355737805525,0.307,-1.0,1.0273069443940253
2022-02-18 00:00:00-05:00,14.856818199157715,67.55529022216797,-4.260988036339886,0.463,-1.0,1.0252528587546308
2022-02-22 00:00:00-05:00,14.803118705749512,66.26905822753906,-4.259931876838413,-0.057,-1.0,1.0333081436389906
2022-02-23 00:00:00-05:00,15.008967399597168,64.83368682861328,-4.253034492320497,-1.119,0.0,1.0504745056929388
2022-02-24 00:00:00-05:00,14.919466972351074,63.84571838378906,-4.241465560740098,-1.263,0.0,1.0504745056929388
2022-02-25 00:00:00-05:00,15.277463912963867,66.8189697265625,-4.229775001614678,-0.436,0.0,1.0504745056929388
2022-02-28 00:00:00-05:00,15.572808265686035,65.84030151367188,-4.21432934958491,-1.34,0.0,1.0504745056929388
2022-03-01 00:00:00-05:00,15.742857933044434,62.88569641113281,-4.1903111136390585,-2.551,1.0,1.0504745056929388
2022-03-02 00:00:00-05:00,16.2351016998291,64.65660858154297,-4.160918349869334,-2.21,1.0,1.05187721953077
2022-03-03 00:00:00-05:00,16.45884895324707,64.32106018066406,-4.126709063068311,-2.226,1.0,1.046557447588068
2022-03-04 00:00:00-05:00,16.861595153808594,62.503562927246094,-4.084215912982252,-2.744,1.0,1.0255251553177287
2022-03-07 00:00:00-05:00,16.754194259643555,59.99633026123047,-4.034165847516109,-2.683,1.0,1.0158842836649078
2022-03-08 00:00:00-05:00,16.709447860717773,60.48099899291992,-3.982145121493669,-2.038,1.0,1.027964391964559
2022-03-09 00:00:00-05:00,16.4051513671875,62.28835678100586,-3.935986192773836,-0.997,1.0,1.0577325642766553
2022-03-10 00:00:00-05:00,16.6020450592041,61.71414566040039,-3.892472814968876,-1.104,1.0,1.0527714669954231
2022-03-11 00:00:00-05:00,16.199302673339844,61.24348068237305,-3.8539890231215117,-0.653,1.0,1.0666821492229621
2022-03-14 00:00:00-04:00,15.698108673095703,62.326019287109375,-3.8251986959350814,0.212,0.0,1.0950057883874365
2022-03-15 00:00:00-04:00,15.501213073730469,63.521522521972656,-3.8067559196056218,0.742,0.0,1.0950057883874365
2022-03-16 00:00:00-04:00,15.438559532165527,65.47950744628906,-3.7992412957957633,1.25,0.0,1.0950057883874365
2022-03-17 00:00:00-04:00,15.716007232666016,65.93135070800781,-3.7977879540364716,1.056,0.0,1.0950057883874365
2022-03-18 00:00:00-04:00,15.537009239196777,65.92192840576172,-3.8014250322367573,1.14,0.0,1.0950057883874365
2022-03-21 00:00:00-04:00,16.172449111938477,65.74308013916016,-3.803594435400772,0.506,0.0,1.0950057883874365
2022-03-22 00:00:00-04:00,16.04715347290039,66.81620788574219,-3.8075210263709125,0.826,0.0,1.0950057883874365
2022-03-23 00:00:00-04:00,16.217205047607422,66.6373519897461,-3.8109792338098463,0.607,0.0,1.0950057883874365
2022-03-24 00:00:00-04:00,16.378299713134766,67.63516235351562,-3.8147219554643392,0.658,0.0,1.0950057883874365
2022-03-25 00:00:00-04:00,17.067440032958984,69.28250885009766,-3.816784712096402,0.427,0.0,1.0950057883874365
2022-03-28 00:00:00-04:00,16.78104591369629,69.06600952148438,-3.8192753982908645,0.609,0.0,1.0950057883874365
2022-03-29 00:00:00-04:00,16.906339645385742,70.21443939208984,-3.8231535791705333,0.773,0.0,1.0950057883874365
2022-03-30 00:00:00-04:00,17.085342407226562,70.18618774414062,-3.826513112659178,0.63,0.0,1.0950057883874365
2022-03-31 00:00:00-04:00,16.924243927001953,69.10365295410156,-3.8286063557269125,0.552,0.0,1.0950057883874365
2022-04-01 00:00:00-04:00,17.20168685913086,69.55550384521484,-3.8287555124319446,0.408,0.0,1.0950057883874365
2022-04-04 00:00:00-04:00,17.27328872680664,69.10365295410156,-3.8263902157411205,0.248,0.0,1.0950057883874365
2022-04-05 00:00:00-04:00,16.93319320678711,70.0167465209961,-3.8264652395823346,0.796,0.0,1.0950057883874365
2022-04-06 00:00:00-04:00,17.013742446899414,69.63080596923828,-3.826827384293453,0.632,0.0,1.0950057883874365
2022-04-07 00:00:00-04:00,17.246437072753906,68.77418518066406,-3.8242602196414026,0.223,0.0,1.0950057883874365
2022-04-08 00:00:00-04:00,17.434385299682617,69.30134582519531,-3.8196066992815862,0.207,0.0,1.0950057883874365
2022-04-11 00:00:00-04:00,17.23748779296875,69.00011444091797,-3.814607342685006,0.34,0.0,1.0950057883874365
2022-04-12 00:00:00-04:00,17.130090713500977,68.69888305664062,-3.809742981671143,0.369,0.0,1.0950057883874365
2022-04-13 00:00:00-04:00,17.264341354370117,69.65904998779297,-3.8059029854726103,0.471,0.0,1.0950057883874365
2022-04-14 00:00:00-04:00,17.3359375,69.61198425292969,-3.8022544650115253,0.396,0.0,1.0950057883874365
2022-04-18 00:00:00-04:00,17.49703598022461,69.583740234375,-3.7977071363654575,0.237,0.0,1.0950057883874365
2022-04-19 00:00:00-04:00,17.541786193847656,70.76041412353516,-3.7945261139840296,0.458,0.0,1.0950057883874365
2022-04-20 00:00:00-04:00,17.69393539428711,71.7394027709961,-3.793000713750726,0.523,0.0,1.0950057883874365
2022-04-21 00:00:00-04:00,17.711835861206055,70.61920166015625,-3.790453010231144,0.18,0.0,1.0950057883874365
2022-04-22 00:00:00-04:00,17.139039993286133,68.09642791748047,-3.786743565822697,0.029,0.0,1.0950057883874365
2022-04-25 00:00:00-04:00,16.655746459960938,67.63516235351562,-3.7848373394551738,0.415,0.0,1.0950057883874365
2022-04-26 00:00:00-04:00,16.503599166870117,65.76190948486328,-3.781818422282471,-0.178,0.0,1.0950057883874365
2022-04-27 00:00:00-04:00,16.467798233032227,65.81838989257812,-3.7785313174482886,-0.166,0.0,1.0950057883874365
2022-04-28 00:00:00-04:00,16.83474349975586,66.49614715576172,-3.773921856898131,-0.76,0.0,1.0950057883874365
2022-04-29 00:00:00-04:00,16.487730026245117,64.1427993774414,-3.7668013212774016,-1.783,1.0,1.0950057883874365
2022-05-02 00:00:00-04:00,16.514982223510742,64.7452621459961,-3.7591977319672165,-1.289,1.0,1.0999367231395898
2022-05-03 00:00:00-04:00,16.96919059753418,65.76190948486328,-3.7502853087869443,-1.617,1.0,1.0957669389523637
2022-05-04 00:00:00-04:00,17.514240264892578,69.10365295410156,-3.7431037493031742,-0.416,1.0,1.106337396613491
2022-05-05 00:00:00-04:00,17.123620986938477,67.31510925292969,-3.736670456772886,-0.562,1.0,1.1046903803676131
2022-05-06 00:00:00-04:00,17.532407760620117,66.13843536376953,-3.7261241363974067,-2.737,1.0,1.085527509340456
2022-05-09 00:00:00-04:00,16.89651870727539,64.94293975830078,-3.715457345929426,-1.383,1.0,1.096129799369014
2022-05-10 00:00:00-04:00,16.823841094970703,65.07472229003906,-3.705732481690112,-0.829,1.0,1.1005672929867472
2022-05-11 00:00:00-04:00,16.823841094970703,64.07691192626953,-3.6951179237179073,-1.499,1.0,1.0940779605052013
2022-05-12 00:00:00-04:00,16.74208641052246,63.65330505371094,-3.684050837686877,-1.363,1.0,1.0945867885511629
2022-05-13 00:00:00-04:00,17.023693084716797,65.91250610351562,-3.675162674131214,-0.054,1.0,1.1052739418974205
2022-05-16 00:00:00-04:00,17.61416244506836,65.96900177001953,-3.66416459287021,-1.743,1.0,1.090563571269912
2022-05-17 00:00:00-04:00,17.93210792541504,68.5011978149414,-3.654622785824492,-0.258,1.0,1.1020402855959222
2022-05-18 00:00:00-04:00,17.532407760620117,67.24922180175781,-3.646686667637559,0.141,1.0,1.10469240372218
2022-05-19 00:00:00-04:00,17.278051376342773,65.65835571289062,-3.638826834474544,-0.371,1.0,1.1005882672451535
2022-05-20 00:00:00-04:00,17.287134170532227,65.17827606201172,-3.6303490158658542,-0.72,1.0,1.097722995231692
2022-05-23 00:00:00-04:00,17.405227661132812,66.39259338378906,-3.6231265686441163,0.239,0.0,1.1047626040656873
2022-05-24 00:00:00-04:00,17.387060165405273,66.2137451171875,-3.616704840415943,0.322,0.0,1.1047626040656873
