Date,x,y,hr,zScore,numUnits,cum rets
2022-07-06 00:00:00,88.52056884765625,73.23999786376953,-0.8335711489568018,0.039,0.0,1.0
2022-07-07 00:00:00,88.25911712646484,75.04000091552734,-0.8334528685730129,0.632,0.0,1.0
2022-07-08 00:00:00,88.0910415649414,73.43000030517578,-0.8323256095310495,0.139,0.0,1.0
2022-07-11 00:00:00,88.71666717529297,70.47000122070312,-0.8280433364672706,-0.887,0.0,1.0
2022-07-12 00:00:00,88.11906433105469,71.43000030517578,-0.8248906661055841,-0.313,0.0,1.0
2022-07-13 00:00:00,87.68019104003906,71.36000061035156,-0.8224184883056816,-0.15,0.0,1.0
2022-07-14 00:00:00,88.02568054199219,69.55000305175781,-0.8183856421933416,-0.791,0.0,1.0
2022-07-15 00:00:00,88.91275787353516,73.91000366210938,-0.8176477362544826,0.464,0.0,1.0
2022-07-18 00:00:00,87.185302734375,74.12999725341797,-0.8189365646589849,0.947,0.0,1.0
2022-07-19 00:00:00,87.39070892333984,77.73999786376953,-0.8235056038351186,1.875,-1.0,1.0
2022-07-20 00:00:00,86.56901550292969,80.23999786376953,-0.8310713158637714,2.43,-1.0,0.9834299536406408
2022-07-21 00:00:00,86.64371490478516,82.75,-0.8407197147827654,2.535,-1.0,0.9730699267792605
2022-07-22 00:00:00,88.10037994384766,81.05000305175781,-0.8473492590190711,1.542,-1.0,0.9956047301633775
2022-07-25 00:00:00,89.45433807373047,81.6500015258789,-0.8524855850149456,1.235,-1.0,1.0019802157219695
2022-07-26 00:00:00,90.03327178955078,77.04000091552734,-0.8524317645992756,-0.099,0.0,1.0351343853248036
2022-07-27 00:00:00,89.91187286376953,86.41999816894531,-0.8599833949817981,2.103,-1.0,1.0351343853248036
2022-07-28 00:00:00,91.15377044677734,85.86000061035156,-0.866670908857846,1.489,-1.0,1.0487070930572482
2022-07-29 00:00:00,92.0315170288086,86.52999877929688,-0.8725850532843917,1.279,-1.0,1.0525132830393058
2022-08-01 00:00:00,92.53573608398438,88.56500244140625,-0.8792870780031438,1.415,-1.0,1.0467765084263667
2022-08-02 00:00:00,91.93814086914062,89.62999725341797,-0.8869491305093569,1.513,-1.0,1.0416003989508666
2022-08-03 00:00:00,92.9932861328125,97.91999816894531,-0.900575465083098,2.533,-1.0,1.008094218076576
2022-08-04 00:00:00,93.32943725585938,96.9800033569336,-0.9128811803641123,1.865,-1.0,1.0212198462471773
2022-08-05 00:00:00,92.87188720703125,95.31999969482422,-0.9228662433695,1.347,-1.0,1.0332049675061914
2022-08-08 00:00:00,93.4508285522461,96.26000213623047,-0.9320186054004863,1.189,-1.0,1.0356568867636848
2022-08-09 00:00:00,94.64602661132812,94.4800033569336,-0.9377558777780429,0.507,-1.0,1.0544139913508945
2022-08-10 00:00:00,95.37066650390625,98.91000366210938,-0.9457375139400335,1.012,-1.0,1.038606682107816
2022-08-11 00:00:00,95.2389144897461,99.11000061035156,-0.953652374870008,0.879,-1.0,1.0408664204652978
2022-08-12 00:00:00,97.66693878173828,101.0999984741211,-0.9605924125762613,0.659,-1.0,1.0460137382845247
2022-08-15 00:00:00,98.4010009765625,101.51000213623047,-0.9665191802298138,0.461,-1.0,1.050480967508161
2022-08-16 00:00:00,98.30690002441406,102.08000183105469,-0.9723367347083658,0.433,-1.0,1.0500304920223793
2022-08-17 00:00:00,98.1845474243164,99.41999816894531,-0.9754669493761704,-0.172,0.0,1.0646228897564696
2022-08-18 00:00:00,98.22219848632812,99.86000061035156,-0.9782792213917282,-0.219,0.0,1.0646228897564696
2022-08-19 00:00:00,98.75862121582031,96.55999755859375,-0.9775689263770632,-1.134,0.0,1.0646228897564696
2022-08-22 00:00:00,97.31873321533203,93.58000183105469,-0.9750899992415795,-1.393,0.0,1.0646228897564696
2022-08-23 00:00:00,96.65055847167969,93.19999694824219,-0.9727953285545239,-1.277,0.0,1.0646228897564696
2022-08-24 00:00:00,96.61292266845703,93.76000213623047,-0.9712184172465959,-1.087,0.0,1.0646228897564696
2022-08-25 00:00:00,97.29049682617188,96.72000122070312,-0.9718085423289969,-0.606,0.0,1.0646228897564696
2022-08-26 00:00:00,95.82240295410156,92.69999694824219,-0.9704770207337121,-1.215,0.0,1.0646228897564696
2022-08-29 00:00:00,96.86701965332031,92.66000366210938,-0.9680982869228316,-1.409,0.0,1.0646228897564696
2022-08-30 00:00:00,95.37066650390625,91.80000305175781,-0.9662597594895744,-1.239,0.0,1.0646228897564696
2022-08-31 00:00:00,94.29782104492188,93.44000244140625,-0.9668924688247118,-0.688,0.0,1.0646228897564696
2022-09-01 00:00:00,96.34941101074219,92.66000366210938,-0.9655016381952307,-1.301,0.0,1.0646228897564696
2022-09-02 00:00:00,95.13538360595703,91.12999725341797,-0.9636369170262108,-1.292,0.0,1.0646228897564696
2022-09-06 00:00:00,95.57770538330078,91.61499786376953,-0.9619036532885479,-1.172,0.0,1.0646228897564696
2022-09-07 00:00:00,98.57038879394531,94.97000122070312,-0.9607308175941318,-0.977,0.0,1.0646228897564696
2022-09-08 00:00:00,97.85517120361328,96.16999816894531,-0.9613158772934604,-0.515,0.0,1.0646228897564696
2022-09-09 00:00:00,98.54216003417969,96.2300033569336,-0.9615960629107018,-0.626,0.0,1.0646228897564696
2022-09-12 00:00:00,98.9844741821289,97.6500015258789,-0.9626397675346676,-0.397,0.0,1.0646228897564696
2022-09-13 00:00:00,96.18000793457031,95.01000213623047,-0.9637531688003295,-0.426,0.0,1.0646228897564696
