Date,x,y,hr,zScore,numUnits,cum rets
2022-05-26 00:00:00,114.30000305175781,448.9847717285156,-3.7237184565328922,0.213,0.0,1.0
2022-05-27 00:00:00,120.5,454.5561828613281,-3.7271918157029518,-0.495,0.0,1.0
2022-05-31 00:00:00,120.87000274658203,450.1724548339844,-3.725131038844269,-0.692,0.0,1.0
2022-06-01 00:00:00,116.72000122070312,441.2601623535156,-3.727265310520585,-0.419,0.0,1.0
2022-06-02 00:00:00,121.26000213623047,470.826171875,-3.738449298393017,0.009,0.0,1.0
2022-06-03 00:00:00,119.83000183105469,459.85723876953125,-3.745653980932066,-0.289,0.0,1.0
2022-06-06 00:00:00,122.0199966430664,456.20733642578125,-3.7435968459256554,-0.777,0.0,1.0
2022-06-07 00:00:00,122.9000015258789,455.5410461425781,-3.738054056593571,-0.909,0.0,1.0
2022-06-08 00:00:00,123.7699966430664,451.8815002441406,-3.7278413596797284,-1.086,0.0,1.0
2022-06-09 00:00:00,115.72000122070312,455.8017578125,-3.7417393302960176,0.27,0.0,1.0
2022-06-10 00:00:00,108.91000366210938,447.3625793457031,-3.7689876038321644,0.825,0.0,1.0
2022-06-13 00:00:00,98.93000030517578,436.68328857421875,-3.81507127140627,1.62,-1.0,1.0
2022-06-14 00:00:00,98.87000274658203,439.1455383300781,-3.8623733066832147,1.439,-1.0,1.002418469117304
2022-06-15 00:00:00,101.47000122070312,442.9981689453125,-3.9023941239641995,0.99,-1.0,1.0146363032556647
2022-06-16 00:00:00,93.26000213623047,436.2101745605469,-3.957924542192244,1.626,-1.0,0.9897123777282051
2022-06-17 00:00:00,99.48999786376953,431.314697265625,-3.989802554425584,0.378,-1.0,1.0292227584387832
2022-06-21 00:00:00,102.2699966430664,447.16949462890625,-4.020463376738058,0.398,-1.0,1.0273266978660014
2022-06-22 00:00:00,99.52999877929688,444.1279296875,-4.054898294476026,0.543,-1.0,1.0219626248561342
2022-06-23 00:00:00,95.72000122070312,458.6502685546875,-4.11041109268894,1.406,-1.0,0.9930248940663857
2022-06-24 00:00:00,103.51000213623047,467.6977233886719,-4.146937750686838,0.349,-1.0,1.0228522061246355
2022-06-27 00:00:00,101.5,465.16790771484375,-4.182945400558969,0.409,-1.0,1.020434905364889
2022-06-28 00:00:00,97.52999877929688,452.48016357421875,-4.219351107831202,0.468,-1.0,1.0200090854578596
2022-06-29 00:00:00,93.93000030517578,453.6678161621094,-4.266174896847783,1.01,-1.0,1.0059883725847523
2022-06-30 00:00:00,89.08000183105469,462.78289794921875,-4.334934735127042,1.902,-1.0,0.9780936710603771
2022-07-01 00:00:00,91.41000366210938,469.0398864746094,-4.399185411592707,1.466,-1.0,0.9892471521836019
2022-07-05 00:00:00,95.94000244140625,471.4538269042969,-4.444492882348683,0.602,-1.0,1.0135952686603384
2022-07-06 00:00:00,92.87999725341797,475.6927185058594,-4.4985376116791125,1.103,-1.0,0.9992481546196973
2022-07-07 00:00:00,97.5,477.9135437011719,-4.53484311172776,0.244,-1.0,1.0232707175328366
2022-07-08 00:00:00,97.3499984741211,484.2767639160156,-4.571756641807306,0.352,-1.0,1.0195584791125687
2022-07-11 00:00:00,95.0999984741211,481.72760009765625,-4.612265193672265,0.459,-1.0,1.0153373583803522
2022-07-12 00:00:00,96.55000305175781,473.6842956542969,-4.638218728753077,-0.31,0.0,1.0340425597056826
2022-07-13 00:00:00,95.63999938964844,475.27752685546875,-4.665017632896482,-0.217,0.0,1.0340425597056826
2022-07-14 00:00:00,91.05000305175781,494.3187561035156,-4.723239352845571,1.281,0.0,1.0340425597056826
2022-07-15 00:00:00,94.66000366210938,504.9497985839844,-4.776254194337936,0.736,0.0,1.0340425597056826
2022-07-18 00:00:00,97.66999816894531,498.5286560058594,-4.807302865721959,-0.317,0.0,1.0340425597056826
2022-07-19 00:00:00,102.19999694824219,502.3233947753906,-4.817998427867862,-1.17,0.0,1.0340425597056826
2022-07-20 00:00:00,107.7300033569336,506.15673828125,-4.806344778102149,-2.052,1.0,1.0340425597056826
2022-07-21 00:00:00,108.13999938964844,511.23577880859375,-4.795341701081795,-1.8,1.0,1.0382164907296527
2022-07-22 00:00:00,103.97000122070312,511.4866943359375,-4.8018223720329,-0.968,1.0,1.0575823393804136
2022-07-25 00:00:00,104.94999694824219,510.9266662597656,-4.805771199917474,-1.192,1.0,1.0519876719715613
2022-07-26 00:00:00,101.91000366210938,494.30908203125,-4.8074314610909505,-1.299,1.0,1.0497755269985536
2022-07-27 00:00:00,107.36000061035156,504.3318176269531,-4.795661832219231,-1.886,1.0,1.0351422356547946
2022-07-28 00:00:00,108.83999633789062,518.6179809570312,-4.788984590847883,-1.592,1.0,1.0427542443769464
2022-07-29 00:00:00,110.9800033569336,523.5703125,-4.779370671374516,-1.663,1.0,1.0387416856223814
2022-08-01 00:00:00,111.19999694824219,528.8998413085938,-4.773670184941207,-1.378,1.0,1.0433768124186784
2022-08-02 00:00:00,116.33999633789062,525.6596069335938,-4.747251777019862,-2.113,1.0,1.0204599170844328
2022-08-03 00:00:00,115.0199966430664,529.0933227539062,-4.728443307278831,-1.56,1.0,1.0315166661633346
2022-08-04 00:00:00,119.22000122070312,525.4854736328125,-4.694310683716057,-2.038,1.0,1.0136406134888425
2022-08-05 00:00:00,117.11000061035156,522.9608764648438,-4.66739507527162,-1.577,1.0,1.0234881142571024
2022-08-08 00:00:00,115.81999969482422,524.150634765625,-4.649373706368245,-1.195,1.0,1.0322379519932277
2022-08-09 00:00:00,114.44000244140625,518.269775390625,-4.634449305157827,-1.06,1.0,1.0343771229996535
2022-08-10 00:00:00,118.7300033569336,522.1387939453125,-4.609189673930162,-1.382,1.0,1.0222078277287752
2022-08-11 00:00:00,121.5,514.7683715820312,-4.570136799129686,-1.739,1.0,1.0078224420381274
2022-08-12 00:00:00,124.51000213623047,519.6142578125,-4.526824581915829,-1.704,1.0,1.004575330429489
