Date,x,y,hr,zScore,numUnits,cum rets
2022-04-20 00:00:00,60.386383056640625,364.1689453125,-5.887259831115115,0.656,-1.0,0.9934832302078453
2022-04-21 00:00:00,58.156402587890625,362.299560546875,-5.901686351985544,1.011,-1.0,0.978713855716804
2022-04-22 00:00:00,55.621883392333984,358.58013916015625,-5.932456624788232,1.331,-1.0,0.9648776020229087
2022-04-25 00:00:00,53.951847076416016,352.2965087890625,-5.9699935979433825,1.327,-1.0,0.9625071610261783
2022-04-26 00:00:00,53.853614807128906,343.74212646484375,-5.997824910602747,0.891,-1.0,0.9767055866004681
2022-04-27 00:00:00,54.610042572021484,341.46160888671875,-6.013315701191899,0.526,-1.0,0.9881460622880487
2022-04-28 00:00:00,56.024654388427734,351.6114196777344,-6.026358668801574,0.524,-1.0,0.9868220230850347
2022-04-29 00:00:00,54.11885452270508,339.7389831542969,-6.037427866249111,0.431,-1.0,0.98830212560302
2022-05-02 00:00:00,57.27227020263672,330.7049560546875,-6.014264339219344,-1.028,0.0,1.0279165816759
2022-05-03 00:00:00,58.195701599121094,341.49090576171875,-5.989394168887697,-0.684,0.0,1.0279165816759
2022-05-04 00:00:00,60.48462677001953,344.2706298828125,-5.953056605226192,-1.117,0.0,1.0279165816759
2022-05-05 00:00:00,61.19192886352539,335.0996398925781,-5.9007477927597956,-1.648,1.0,1.0279165816759
2022-05-06 00:00:00,63.795223236083984,334.8255920410156,-5.830053780993409,-2.067,1.0,1.0121749337700747
2022-05-09 00:00:00,56.820377349853516,316.23883056640625,-5.785424067658404,-0.916,1.0,1.0503362246063612
2022-05-10 00:00:00,58.362701416015625,308.64361572265625,-5.731481730735048,-1.645,1.0,1.0295478751657334
2022-05-11 00:00:00,59.040531158447266,308.35980224609375,-5.673932943024396,-1.697,1.0,1.0283493532255288
2022-05-12 00:00:00,58.17604446411133,316.532470703125,-5.6345221189257035,-0.864,1.0,1.0522044477333345
2022-05-13 00:00:00,62.95037841796875,327.0737609863281,-5.5838528936626854,-1.504,1.0,1.0327960294802496
2022-05-16 00:00:00,66.52620697021484,321.4556579589844,-5.504990087721136,-2.276,1.0,1.0032204885324
2022-05-17 00:00:00,66.74231719970703,318.4606018066406,-5.420718616594745,-1.998,1.0,1.005336958011163
2022-05-18 00:00:00,63.16649627685547,308.09246826171875,-5.352104860672017,-1.312,1.0,1.02599646708494
2022-05-19 00:00:00,62.83249282836914,313.0165710449219,-5.300133934207462,-0.826,1.0,1.041440139912991
2022-05-20 00:00:00,62.14482879638672,320.3832092285156,-5.2686162010318345,-0.233,1.0,1.06146175855518
2022-05-23 00:00:00,64.2667465209961,327.72039794921875,-5.240256955723675,-0.289,1.0,1.0584221179653437
2022-05-24 00:00:00,63.92292785644531,340.4427490234375,-5.2311463507319615,0.437,0.0,1.08080754830986
2022-05-25 00:00:00,65.21965026855469,339.7462463378906,-5.219180288462382,0.191,0.0,1.08080754830986
2022-05-26 00:00:00,67.44964599609375,331.9873352050781,-5.185848663073408,-0.608,0.0,1.08080754830986
2022-05-27 00:00:00,69.61084747314453,340.92340087890625,-5.147484916071729,-0.555,0.0,1.08080754830986
2022-05-31 00:00:00,68.08817291259766,330.1824645996094,-5.107899309511004,-0.524,0.0,1.08080754830986
2022-06-01 00:00:00,69.17860412597656,324.7580261230469,-5.059154375976289,-0.869,0.0,1.08080754830986
2022-06-02 00:00:00,68.07835388183594,329.5546875,-5.02345907076503,-0.196,0.0,1.08080754830986
2022-06-03 00:00:00,69.0509033203125,323.26708984375,-4.981514356137691,-0.585,0.0,1.08080754830986
2022-06-06 00:00:00,68.38288879394531,327.2986145019531,-4.949389098326674,-0.089,0.0,1.08080754830986
2022-06-07 00:00:00,69.30632019042969,331.3889465332031,-4.921540392533176,0.006,0.0,1.08080754830986
2022-06-08 00:00:00,67.8131103515625,331.3889465332031,-4.904767191618573,0.464,0.0,1.08080754830986
2022-06-09 00:00:00,64.15179443359375,327.2789611816406,-4.906700526450633,1.208,0.0,1.08080754830986
2022-06-10 00:00:00,62.862464904785156,319.3139953613281,-4.9110747848150655,1.191,0.0,1.08080754830986
2022-06-13 00:00:00,58.886192321777344,302.8053894042969,-4.919022339776905,1.438,0.0,1.08080754830986
2022-06-14 00:00:00,61.11054229736328,291.38763427734375,-4.902996017234933,0.246,0.0,1.08080754830986
2022-06-15 00:00:00,59.3290901184082,295.6349792480469,-4.896448778430514,1.115,0.0,1.08080754830986
2022-06-16 00:00:00,55.9138298034668,285.3158874511719,-4.899603455234258,1.528,-1.0,1.08080754830986
2022-06-17 00:00:00,54.80165481567383,286.4635009765625,-4.912262092998564,1.871,-1.0,1.0701840060799273
2022-06-21 00:00:00,56.95711135864258,297.44964599609375,-4.92702657183233,1.704,-1.0,1.0709502761430816
2022-06-22 00:00:00,54.890235900878906,305.78729248046875,-4.962222419704762,2.388,-1.0,1.0422572686998162
2022-06-23 00:00:00,55.20519256591797,319.61810302734375,-5.014465116276897,2.517,-1.0,1.0265242255605789
2022-06-24 00:00:00,56.612632751464844,321.4720153808594,-5.062175380815982,1.941,-1.0,1.0395241184324262
2022-06-27 00:00:00,57.97086715698242,318.2252197265625,-5.094324563559318,1.306,-1.0,1.059059899837445
2022-06-28 00:00:00,60.736541748046875,308.9949035644531,-5.093924966358749,0.199,-1.0,1.0967312406777423
2022-06-29 00:00:00,58.1677131652832,311.1725158691406,-5.1024852309623885,0.84,-1.0,1.0724454326053188
2022-06-30 00:00:00,57.95117950439453,313.9386291503906,-5.117209013343379,0.926,-1.0,1.0675023086864843
