Date,x,y,hr,zScore,numUnits,cum rets
2022-02-23 00:00:00-05:00,120.0832290649414,254.4162139892578,-2.222426942616254,-0.847,0.0,1.0
2022-02-24 00:00:00-05:00,124.18988800048828,253.96505737304688,-2.204112367457233,-2.297,1.0,1.0
2022-02-25 00:00:00-05:00,124.7238540649414,262.74383544921875,-2.192131438322837,-0.282,1.0,1.0169655527484736
2022-02-28 00:00:00-05:00,124.38404083251953,258.67401123046875,-2.179508256901138,-0.66,1.0,1.0136531974765748
2022-03-01 00:00:00-05:00,124.02485656738281,251.20266723632812,-2.163289658121004,-1.601,1.0,1.0046504057311527
2022-03-02 00:00:00-05:00,126.16070556640625,255.81326293945312,-2.1481465857111735,-1.116,1.0,1.0082580487351762
2022-03-03 00:00:00-05:00,127.56840515136719,253.670166015625,-2.1309067297947677,-1.648,1.0,1.0026105813183637
2022-03-04 00:00:00-05:00,131.74302673339844,254.112548828125,-2.1092701052909826,-2.534,1.0,0.9920787517307614
2022-03-07 00:00:00-05:00,128.52952575683594,238.835693359375,-2.083425392272477,-2.999,1.0,0.9818601814358257
2022-03-08 00:00:00-05:00,121.03466033935547,235.78822326660156,-2.0680303062371475,-0.43,1.0,1.011547719259037
2022-03-09 00:00:00-05:00,125.02481842041016,237.61672973632812,-2.0504890960664595,-1.121,1.0,1.0029842442204808
2022-03-10 00:00:00-05:00,125.78207397460938,233.52716064453125,-2.0304012059083507,-1.561,1.0,0.9966117349639614
2022-03-11 00:00:00-05:00,122.67538452148438,229.63421630859375,-2.013441946486935,-0.752,1.0,1.0060432180791155
2022-03-14 00:00:00-04:00,122.53945922851562,233.60580444335938,-2.001096320030944,0.275,0.0,1.0180688298967924
2022-03-15 00:00:00-04:00,126.4616470336914,238.33432006835938,-1.98809773708026,0.056,0.0,1.0180688298967924
2022-03-16 00:00:00-04:00,128.15585327148438,240.24148559570312,-1.9751953565274456,0.159,0.0,1.0180688298967924
2022-03-17 00:00:00-04:00,130.08375549316406,243.32830810546875,-1.9629827195962253,0.335,0.0,1.0180688298967924
2022-03-18 00:00:00-04:00,133.29690551757812,247.27040100097656,-1.9503711491020115,0.22,0.0,1.0180688298967924
2022-03-21 00:00:00-04:00,132.39137268066406,241.6571044921875,-1.9363154446062776,-0.17,0.0,1.0180688298967924
2022-03-22 00:00:00-04:00,132.81004333496094,245.93344116210938,-1.925770884467559,0.807,0.0,1.0180688298967924
2022-03-23 00:00:00-04:00,131.34951782226562,243.4462890625,-1.9167332838007078,1.088,0.0,1.0180688298967924
2022-03-24 00:00:00-04:00,131.5345458984375,245.69749450683594,-1.9099197779749435,1.541,-1.0,1.0180688298967924
2022-03-25 00:00:00-04:00,131.7000274658203,241.05743408203125,-1.9006097132642183,0.783,-1.0,1.0256598467990816
2022-03-28 00:00:00-04:00,131.6221466064453,246.33648681640625,-1.8955340205304614,1.796,-1.0,1.0133670482898591
2022-03-29 00:00:00-04:00,129.1587371826172,254.9580078125,-1.900142468240161,3.268,-1.0,0.9879946781248384
2022-03-30 00:00:00-04:00,130.81402587890625,248.725341796875,-1.8989641332365976,1.761,-1.0,1.0065485519524289
2022-03-31 00:00:00-04:00,128.64268493652344,245.39276123046875,-1.897901792740556,1.764,-1.0,1.004654175870222
2022-04-01 00:00:00-04:00,129.2074432373047,250.88809204101562,-1.8998855323079005,2.099,-1.0,0.9962588607646526
2022-04-04 00:00:00-04:00,127.18217468261719,254.65321350097656,-1.907043459666653,2.554,-1.0,0.9827781597834743
2022-04-05 00:00:00-04:00,127.09455108642578,253.601318359375,-1.9134709771391367,2.127,-1.0,0.9862035208514734
2022-04-06 00:00:00-04:00,125.73139953613281,258.18243408203125,-1.9241030711379337,2.411,-1.0,0.9745005652537574
2022-04-07 00:00:00-04:00,126.46165466308594,259.362060546875,-1.9340789693645186,2.058,-1.0,0.9774513174068283
2022-04-08 00:00:00-04:00,126.47139739990234,259.2933349609375,-1.9431037544366807,1.805,-1.0,0.9798846792353872
2022-04-11 00:00:00-04:00,124.72850799560547,256.6783447265625,-1.9518135575139048,1.646,-1.0,0.9805139937976589
2022-04-12 00:00:00-04:00,121.54457092285156,252.59861755371094,-1.9612348657636027,1.599,-1.0,0.9784983853633622
2022-04-13 00:00:00-04:00,122.51824951171875,254.0240478515625,-1.9696504481621426,1.388,-1.0,0.9815573708599337
2022-04-14 00:00:00-04:00,121.25244903564453,248.61720275878906,-1.9753312578539204,1.054,-1.0,0.9889375065906174
2022-04-18 00:00:00-04:00,119.39273071289062,242.0011749267578,-1.9783155086405195,0.763,-1.0,0.9958358379404862
2022-04-19 00:00:00-04:00,119.69457244873047,247.9782257080078,-1.9844924151124703,1.046,-1.0,0.986277725903412
2022-04-20 00:00:00-04:00,120.59034729003906,248.80397033691406,-1.98982765338863,0.874,-1.0,0.9895416971476201
2022-04-21 00:00:00-04:00,117.53300476074219,247.3490447998047,-1.9978484386344424,1.083,-1.0,0.981897065578917
2022-04-22 00:00:00-04:00,114.1640625,240.7723388671875,-2.005629716541401,0.977,-1.0,0.9834604990320267
2022-04-25 00:00:00-04:00,113.77459716796875,243.81983947753906,-2.015483453212341,1.15,-1.0,0.9777379382746989
2022-04-26 00:00:00-04:00,111.3209228515625,266.7744445800781,-2.0443676004296636,2.715,-1.0,0.9278051600894275
2022-04-27 00:00:00-04:00,113.62853240966797,274.6488037109375,-2.0752330760292,2.409,-1.0,0.9284916890235262
2022-04-28 00:00:00-04:00,116.1114273071289,276.5461120605469,-2.101619815476407,1.854,-1.0,0.9406305007772794
