,s1,s2,p-value
173,GEHC,PYPL,0.0
160,GEHC,MSFT,0.0
161,GEHC,MU,0.0
162,GEHC,NFLX,0.0
163,GEHC,NVDA,0.0
164,GEHC,NXPI,0.0
165,GEHC,ODFL,0.0
166,GEHC,ON,0.0
167,GEHC,ORLY,0.0
168,GEHC,PANW,0.0
169,GEHC,PAYX,0.0
170,GEHC,PCAR,0.0
171,GEHC,PDD,0.0
172,GEHC,PEP,0.0
175,GEHC,REGN,0.0
176,GEHC,ROP,0.0
177,GEHC,ROST,0.0
178,GEHC,SBUX,0.0
179,GEHC,SIRI,0.0
180,GEHC,SNPS,0.0
159,GEHC,MRVL,0.0
158,GEHC,MRNA,0.0
157,GEHC,MNST,0.0
156,GEHC,META,0.0
136,GEHC,GFS,0.0
137,GEHC,GILD,0.0
138,GEHC,GOOG,0.0
139,GEHC,GOOGL,0.0
140,GEHC,HON,0.0
141,GEHC,IDXX,0.0
142,GEHC,ILMN,0.0
143,GEHC,INTC,0.0
144,GEHC,INTU,0.0
181,GEHC,SPLK,0.0
145,GEHC,ISRG,0.0
147,GEHC,KHC,0.0
148,GEHC,KLAC,0.0
149,GEHC,LRCX,0.0
150,GEHC,LULU,0.0
151,GEHC,MAR,0.0
152,GEHC,MCHP,0.0
153,GEHC,MDB,0.0
154,GEHC,MDLZ,0.0
155,GEHC,MELI,0.0
146,GEHC,KDP,0.0
182,GEHC,TEAM,0.0
174,GEHC,QCOM,0.0
184,GEHC,TSLA,0.0
185,GEHC,TTD,0.0
186,GEHC,TTWO,0.0
187,GEHC,TXN,0.0
188,GEHC,VRSK,0.0
189,GEHC,VRTX,0.0
190,GEHC,WBA,0.0
191,GEHC,WBD,0.0
183,GEHC,TMUS,0.0
194,GEHC,ZS,0.0
192,GEHC,WDAY,0.0
193,GEHC,XEL,0.0
21,ADSK,COST,7.900061850228552e-05
250,IDXX,MCHP,0.0001119141412143049
249,HON,TSLA,0.00041477916296094974
288,MAR,WDAY,0.0010132483128846993
239,GOOG,GOOGL,0.0010568369372930078
243,GOOG,TTWO,0.0012714489211888868
247,GOOGL,TTWO,0.0013089939742039521
341,TTD,VRSK,0.001587057757373444
270,LRCX,MAR,0.001643827898924913
2,ABNB,AMD,0.0017516993918625405
339,SNPS,VRTX,0.0018206181546109137
