,s1,s2,p-value
272,GEHC,LULU,0.0
288,GEHC,ON,0.0
289,GEHC,ORLY,0.0
290,GEHC,PANW,0.0
291,GEHC,PAYX,0.0
292,GEHC,PCAR,0.0
293,GEHC,PDD,0.0
294,GEHC,PEP,0.0
295,GEHC,PYPL,0.0
296,GEHC,QCOM,0.0
297,GEHC,REGN,0.0
298,GEHC,ROP,0.0
299,GEHC,ROST,0.0
300,GEHC,SBUX,0.0
301,GEHC,SIRI,0.0
302,GEHC,SNPS,0.0
303,GEHC,TEAM,0.0
304,GEHC,TMUS,0.0
305,GEHC,TSLA,0.0
306,GEHC,TTD,0.0
307,GEHC,TTWO,0.0
308,GEHC,TXN,0.0
309,GEHC,VRSK,0.0
310,GEHC,VRTX,0.0
311,GEHC,WBA,0.0
312,GEHC,WBD,0.0
287,GEHC,ODFL,0.0
286,GEHC,NXPI,0.0
285,GEHC,NVDA,0.0
284,GEHC,NFLX,0.0
257,GEHC,GFS,0.0
258,GEHC,GILD,0.0
259,GEHC,GOOG,0.0
260,GEHC,GOOGL,0.0
261,GEHC,HON,0.0
262,GEHC,IDXX,0.0
263,GEHC,ILMN,0.0
264,GEHC,INTC,0.0
265,GEHC,INTU,0.0
266,GEHC,ISRG,0.0
267,GEHC,KDP,0.0
268,GEHC,KHC,0.0
314,GEHC,XEL,0.0
269,GEHC,KLAC,0.0
271,GEHC,LRCX,0.0
273,GEHC,MAR,0.0
274,GEHC,MCHP,0.0
275,GEHC,MDB,0.0
276,GEHC,MDLZ,0.0
277,GEHC,MELI,0.0
278,GEHC,META,0.0
279,GEHC,MNST,0.0
280,GEHC,MRNA,0.0
281,GEHC,MRVL,0.0
282,GEHC,MSFT,0.0
283,GEHC,MU,0.0
270,GEHC,LIN,0.0
315,GEHC,ZS,0.0
313,GEHC,WDAY,0.0
477,NFLX,ORLY,3.7775243773667704e-06
346,IDXX,MCHP,1.9558482680019704e-05
478,NFLX,PCAR,9.723615887018437e-05
6,ABNB,AMD,0.00023893689433200115
21,ABNB,LRCX,0.0003034678089119506
522,PYPL,WDAY,0.0003204333117923397
513,PYPL,ROP,0.00034061601139796744
519,PYPL,VRSK,0.00038565834778919234
344,HON,TSLA,0.0005642753887526905
27,ABNB,NXPI,0.0005708462037970194
187,DASH,FAST,0.0008183489138545037
516,PYPL,SNPS,0.0008247509273261466
7,ABNB,AVGO,0.0008712293851366971
97,ANSS,CCEP,0.0009247541622679188
58,ADSK,COST,0.0009313281343410471
518,PYPL,TTWO,0.0009873159444205018
166,CTAS,PCAR,0.0011274275643063496
124,CCEP,ISRG,0.001189787112326956
47,ADI,IDXX,0.0012503587145290967
487,NXPI,WDAY,0.001353171498208326
470,MRNA,TTWO,0.0015290300432186095
44,ADI,ANSS,0.0015498559660659255
356,ILMN,INTU,0.0015792240203498708
56,ADSK,CDW,0.0016536919119347917
347,IDXX,MDLZ,0.0017332272915964216
426,LRCX,MAR,0.0017759343608604234
461,MNST,NFLX,0.0018605361659510713
194,DASH,LRCX,0.0020316715578513754
46,ADI,CCEP,0.0021999777187814025
517,PYPL,TTD,0.002211125341134358
19,ABNB,KLAC,0.0023054617093523706
64,ADSK,FAST,0.0023322516561142545
158,CSCO,PYPL,0.0025422548997362164
533,TTD,VRSK,0.002630802427609053
66,ADSK,KLAC,0.0026904972815544204
348,IDXX,MNST,0.002769837323872474
326,GOOG,GOOGL,0.002983059598202736
22,ABNB,MAR,0.0032970784144793976
436,LULU,VRTX,0.0033051687882857395
333,GOOG,TTWO,0.0036099257830743093
162,CSX,FANG,0.00369609490165187
341,GOOGL,TTWO,0.003736534830750249
429,LRCX,NXPI,0.00374558222589246
249,FAST,MAR,0.0038647410433524914
123,CCEP,IDXX,0.003869125730547554
195,DASH,MAR,0.004111694012239475
88,AMAT,LIN,0.0043256090945189675
534,TTD,WBA,0.004340306081872473
93,AMD,DASH,0.0043541831189901365
172,CTSH,INTC,0.004359160037009369
110,AVGO,LRCX,0.004440744908811482
100,ANSS,MDLZ,0.004538422651195748
198,DASH,MU,0.004674706520126312
48,ADI,MDLZ,0.004770282245597138
23,ABNB,META,0.004856530705175716
216,DDOG,MRVL,0.004874856892634094
374,ILMN,SNPS,0.005125507673781556
407,KDP,PYPL,0.005125760390001607
63,ADSK,FANG,0.0051472214186206065
243,EXC,TMUS,0.0051911853862963535
452,MDB,TTWO,0.005503397597614675
530,SNPS,VRTX,0.005564115649607857
242,EXC,REGN,0.005595700266944859
197,DASH,MSFT,0.005693863329685397
248,FAST,LRCX,0.005702833764630819
167,CTAS,VRTX,0.005841227480538285
68,ADSK,LRCX,0.005983507650434596
441,MAR,WDAY,0.005993737711510665
140,CEG,FANG,0.005998706128470488
71,ADSK,NXPI,0.006080125730095126
75,ADSK,REGN,0.006111858004276747
520,PYPL,VRTX,0.006324590832347928
147,COST,DASH,0.006419788191953583
196,DASH,META,0.00651759669427065
115,AVGO,WDAY,0.006914055845073249
542,VRTX,WDAY,0.007142008086884339
65,ADSK,INTU,0.007213599082510913
120,BKNG,WDAY,0.007393266423267974
31,ABNB,PCAR,0.007603355285275536
