,s1,s2,p-value
168,GEHC,IDXX,0.0
192,GEHC,ODFL,0.0
191,GEHC,NXPI,0.0
190,GEHC,NVDA,0.0
189,GEHC,NFLX,0.0
188,GEHC,MU,0.0
187,GEHC,MSFT,0.0
186,GEHC,MRVL,0.0
185,GEHC,MRNA,0.0
184,GEHC,MNST,0.0
183,GEHC,META,0.0
182,GEHC,MELI,0.0
181,GEHC,MDLZ,0.0
180,GEHC,MDB,0.0
179,GEHC,MCHP,0.0
178,GEHC,MAR,0.0
177,GEHC,LULU,0.0
176,GEHC,LRCX,0.0
175,GEHC,KLAC,0.0
174,GEHC,KHC,0.0
173,GEHC,KDP,0.0
172,GEHC,ISRG,0.0
171,GEHC,INTU,0.0
170,GEHC,INTC,0.0
169,GEHC,ILMN,0.0
167,GEHC,HON,0.0
166,GEHC,GOOGL,0.0
165,GEHC,GOOG,0.0
164,GEHC,GILD,0.0
163,GEHC,GFS,0.0
193,GEHC,ON,0.0
194,GEHC,ORLY,0.0
195,GEHC,PANW,0.0
212,GEHC,TTD,0.0
219,GEHC,WDAY,0.0
218,GEHC,WBD,0.0
217,GEHC,WBA,0.0
216,GEHC,VRTX,0.0
215,GEHC,VRSK,0.0
214,GEHC,TXN,0.0
213,GEHC,TTWO,0.0
196,GEHC,PAYX,0.0
211,GEHC,TSLA,0.0
210,GEHC,TMUS,0.0
209,GEHC,TEAM,0.0
220,GEHC,XEL,0.0
208,GEHC,SPLK,0.0
207,GEHC,SNPS,0.0
206,GEHC,SIRI,0.0
205,GEHC,SBUX,0.0
204,GEHC,ROST,0.0
203,GEHC,ROP,0.0
202,GEHC,REGN,0.0
201,GEHC,QCOM,0.0
200,GEHC,PYPL,0.0
199,GEHC,PEP,0.0
198,GEHC,PDD,0.0
197,GEHC,PCAR,0.0
221,GEHC,ZS,0.0
321,TTD,VRSK,4.4405825380433026e-05
158,FAST,MU,0.00042449906565324483
20,ADSK,COST,0.0004474905639567907
70,AVGO,LRCX,0.0004962840429785794
230,GOOG,TTWO,0.0005405765920059088
233,GOOGL,TTWO,0.0005763382665071246
228,GOOG,GOOGL,0.0007343157999210182
63,AMD,FAST,0.0008768422363785015
253,LRCX,MAR,0.001386865244749936
0,AAPL,TTD,0.001602004505762619
99,CSX,DASH,0.0018708614702483155
239,INTU,PANW,0.0020873963591738942
10,ADI,MDLZ,0.0022054523025702476
156,FAST,MAR,0.002245222649326627
150,FANG,REGN,0.0023387406606290373
25,ADSK,FAST,0.0024065993370012647
160,FAST,PANW,0.002503682001522799
232,GOOGL,MDB,0.0026894821801465756
130,DDOG,PAYX,0.002695656083160494
229,GOOG,MDB,0.0029218275615733942
101,CSX,INTU,0.003076348731177415
29,ADSK,LULU,0.0032284202036422936
43,ADSK,VRTX,0.0033722471999104967
26,ADSK,INTU,0.0034820749801523707
118,DASH,FAST,0.0035184186821816434
57,AMAT,FAST,0.0038933854406073072
102,CSX,META,0.004336833606183328
292,MU,ROP,0.004442146143853786
288,MSFT,PANW,0.0044453545439516375
106,CTAS,KLAC,0.004731589940191908
303,NXPI,VRSK,0.004748955287540794
28,ADSK,LRCX,0.004868001102342401
161,FAST,WDAY,0.004997514652590151
8,ADI,CCEP,0.00505116776520105
263,MAR,MU,0.005099176578912158
38,ADSK,PDD,0.005142335950776435
310,PAYX,ZS,0.005571776556578331
112,CTAS,VRTX,0.00559747870310872
111,CTAS,PCAR,0.005707616329445644
326,TTWO,VRSK,0.0057150296218699045
255,LRCX,NXPI,0.005728422326900517
22,ADSK,CTAS,0.0057915655105085975
152,FANG,VRTX,0.006314593914594302
123,DASH,MU,0.006370056310947312
145,EXC,REGN,0.006777073236442095
146,EXC,TMUS,0.007074139159584812
290,MU,NXPI,0.007563697546315876
272,MCHP,NFLX,0.007664892569952229
58,AMAT,MAR,0.007677201433476699
80,BKNG,NVDA,0.008159706504339958
24,ADSK,FANG,0.008238123470825037
277,MDB,TTWO,0.008836350994218038
318,ROP,WDAY,0.009333533836864893
323,TTD,WBA,0.009528130636115894
110,CTAS,NFLX,0.010630850259849275
322,TTD,VRTX,0.011043992572536791
319,SNPS,VRTX,0.011193967890811115
267,MAR,ROP,0.011483508521906043
36,ADSK,PANW,0.011696385340003038
93,COST,INTU,0.011773130885200477
157,FAST,MSFT,0.011797899368062248
19,ADSK,CEG,0.012014919362332292
147,EXC,VRTX,0.012081122678311147
261,LULU,VRTX,0.012140913846821111
39,ADSK,REGN,0.012233150649028657
3,ABNB,AMD,0.012367579733930387
51,AEP,PYPL,0.01238290635975327
55,AMAT,AVGO,0.012485069583079862
291,MU,PANW,0.012602291965780716
334,VRSK,WDAY,0.012841251193966336
129,DDOG,MRVL,0.012951965769957339
61,AMAT,ROP,0.014104027524477333
265,MAR,NXPI,0.014762786458930892
94,COST,MU,0.015043315929322187
311,PCAR,VRTX,0.015587018424217843
148,EXC,WBD,0.015748244513601087
128,DDOG,INTC,0.01579451615150426
260,LULU,ROP,0.015807124776510164
73,AVGO,PANW,0.016386570303071352
59,AMAT,NVDA,0.01689638379700114
6,ADI,ANSS,0.01696372282065828
259,LULU,PANW,0.0170868700150574
273,MCHP,ORLY,0.017291987802037955
298,NFLX,REGN,0.017451711118373018
16,ADSK,AVGO,0.017815144870748166
234,GOOGL,VRSK,0.017968579564749145
27,ADSK,KLAC,0.01815517910480556
2,AAPL,VRSK,0.018453813104110723
268,MAR,WDAY,0.018476754665663765
300,NFLX,VRTX,0.018660658541843903
231,GOOG,VRSK,0.01866983171073642
245,KDP,NVDA,0.019095495932751817
309,PAYX,TEAM,0.019187041410388128
286,MRNA,TTD,0.019307161340478246
114,CTSH,DASH,0.019327805762982115
308,PAYX,QCOM,0.019811079868983828
35,ADSK,ORLY,0.02006935308927687
236,ILMN,PDD,0.02023899727318021
14,ADSK,AMAT,0.020639744274573577
293,MU,SPLK,0.020834272031299814
97,CSGP,ORLY,0.021197980348352567
317,REGN,ROST,0.02127900129248404
82,BKR,CMCSA,0.021418265548348945
296,NFLX,ORLY,0.021467863209946897
155,FAST,INTU,0.021573101494069675
254,LRCX,NVDA,0.021880668315249773
256,LRCX,PANW,0.021948808132951345
21,ADSK,CSX,0.022009603548083446
314,PYPL,SNPS,0.022124557321487565
225,GFS,TXN,0.022201238694074508
72,AVGO,NXPI,0.022558957771107363
294,MU,VRSK,0.02259918115925429
125,DDOG,FAST,0.022807052338120547
42,ADSK,TMUS,0.023613115481200184
71,AVGO,MAR,0.023855380642809645
44,ADSK,WBA,0.023919055156915236
243,KDP,META,0.02406157838730865
242,KDP,LRCX,0.024140869072904286
90,CEG,NFLX,0.02420172805508407
316,PYPL,XEL,0.024482763603896056
134,EA,FAST,0.024760789417879733
37,ADSK,PCAR,0.025055603649921338
75,AZN,ISRG,0.025283665608408095
54,AEP,WBA,0.02542090072618957
53,AEP,VRTX,0.02564437353429456
336,VRTX,WDAY,0.025678216768555466
66,AMGN,FANG,0.02579790609174744
149,FANG,PCAR,0.026133269945950256
84,CCEP,KDP,0.02660267749924537
95,CSGP,EXC,0.026674152330869266
244,KDP,MSFT,0.02677088757022101
302,NXPI,ROP,0.02693237890126227
247,KDP,PYPL,0.02700129850203326
159,FAST,NXPI,0.027509092119004847
9,ADI,IDXX,0.027666063909867054
143,EXC,FANG,0.02783626880356116
333,TXN,ZS,0.027925530095991722
337,WBD,XEL,0.02797668166815311
60,AMAT,NXPI,0.0282027879011005
100,CSX,FANG,0.02826340368242864
17,ADSK,CDNS,0.02829463628703181
34,ADSK,MU,0.029266670298078373
269,MCHP,MDLZ,0.029475818644021278
240,ISRG,NXPI,0.029528064845742292
124,DASH,SPLK,0.029576360034376328
81,BKNG,WDAY,0.029676199788644383
251,KLAC,PCAR,0.029806451473005435
301,NXPI,PANW,0.03001976671202696
151,FANG,ROST,0.030250884233791808
64,AMD,MU,0.030532040944565304
92,CMCSA,MDB,0.031080896164574653
304,NXPI,WDAY,0.031133637332620003
297,NFLX,PCAR,0.03175064562435496
65,AMD,PANW,0.0319590267901565
116,CTSH,INTC,0.03202428580807137
1,AAPL,TTWO,0.0320786068203671
162,FTNT,KDP,0.032122591770718904
248,KDP,SNPS,0.03219566289434921
235,IDXX,MCHP,0.032406153872375165
108,CTAS,LULU,0.03252528855034233
46,AEP,CEG,0.03262078121865078
77,AZN,SIRI,0.03268924443050034
79,BKNG,LRCX,0.032819343353824484
144,EXC,ORLY,0.03285009191163529
270,MCHP,MELI,0.03285365626604429
85,CCEP,MDLZ,0.03290540141532155
74,AVGO,WDAY,0.03327786040089623
329,TXN,WBA,0.0333369333388202
18,ADSK,CDW,0.03356465615608975
141,EA,MU,0.033671469979750214
289,MU,NVDA,0.03387206682030625
282,META,PANW,0.03392880340766346
257,LRCX,ROP,0.03394032568669656
41,ADSK,SNPS,0.03395896411058699
278,MDB,VRSK,0.03440659190944592
320,TEAM,TSLA,0.034641079842670536
121,DASH,INTC,0.0347540817354058
119,DASH,GOOG,0.0347752728172383
120,DASH,GOOGL,0.0348104145594585
238,INTU,MAR,0.034838624623515814
113,CTAS,WDAY,0.034907133148707005
96,CSGP,NFLX,0.03505865690202348
88,CDNS,VRTX,0.0352136774255354
266,MAR,PANW,0.03529144868678693
276,MDB,MRVL,0.03531619370708553
50,AEP,ODFL,0.03561803537335074
45,ADSK,WDAY,0.03577933324299567
330,TXN,WBD,0.035786704472469594
40,ADSK,ROST,0.035811675857469506
139,EA,MRNA,0.036178070448030106
115,CTSH,DDOG,0.03636100900091719
295,MU,WDAY,0.03659911331315397
305,ODFL,PCAR,0.03660054094280986
107,CTAS,LRCX,0.03709897198300536
89,CEG,EXC,0.03710662149690886
153,FANG,WBA,0.03750503644819194
313,PEP,SIRI,0.03754795706701953
271,MCHP,MNST,0.037769358242638745
279,MELI,NFLX,0.037806731389186034
68,ANSS,MDLZ,0.037923168057646915
33,ADSK,MSFT,0.03827259116492
135,EA,ILMN,0.0391403464519731
4,ABNB,CTSH,0.039740879310510915
299,NFLX,ROST,0.040000309084475855
241,KDP,KLAC,0.040037201832288725
76,AZN,MDLZ,0.04008526443819075
328,TXN,VRTX,0.040181581435312454
83,BKR,CSCO,0.040187264675797
280,MELI,ORLY,0.04050377991241551
154,FANG,XEL,0.04070450436221193
117,CTSH,MRVL,0.04073047491317253
103,CSX,MU,0.04078229853054761
315,PYPL,VRTX,0.04098399907130139
250,KLAC,MAR,0.04110980423126058
140,EA,MSFT,0.04127460692249621
86,CDNS,CPRT,0.04129076133309885
23,ADSK,EXC,0.04149282666215682
332,TXN,XEL,0.04173998335144258
31,ADSK,MELI,0.04181983491876062
274,MCHP,PCAR,0.041919814747221604
142,EA,PANW,0.041997546050035736
331,TXN,WDAY,0.04205722407592644
281,MELI,VRTX,0.04214941037052758
227,GILD,SBUX,0.04223603916987629
307,PANW,WDAY,0.04238992869310194
327,TXN,VRSK,0.04262436974855958
30,ADSK,MAR,0.042939968293411866
284,MNST,PYPL,0.042995249866935835
122,DASH,MRVL,0.043013960594809116
258,LULU,MAR,0.04305631594760509
246,KDP,NXPI,0.043107032586276996
67,ANSS,CCEP,0.043328916044448565
15,ADSK,AMGN,0.04357177584518704
49,AEP,LULU,0.0435917939501815
7,ADI,BKNG,0.043891525245047
312,PDD,PYPL,0.04395661338374876
335,VRTX,WBA,0.04398639744375667
126,DDOG,GOOG,0.044070390682940636
287,MSFT,MU,0.04439867803849734
127,DDOG,GOOGL,0.04446379319407974
249,KDP,TTD,0.04460687725484966
262,LULU,WDAY,0.04495414848723167
285,MRNA,PANW,0.045017595946010014
226,GFS,ZS,0.04518766850059323
252,KLAC,VRTX,0.04535020573172107
56,AMAT,BKNG,0.04540484174197712
69,ANSS,NVDA,0.04556298823396625
283,MNST,ON,0.045694860540996016
138,EA,LULU,0.04571239047558082
87,CDNS,PCAR,0.04572981891780072
11,ADI,ORLY,0.046391322869434946
62,AMAT,WDAY,0.04661246334790361
98,CSGP,WBD,0.04678034543103917
237,ILMN,SNPS,0.046815146814263915
12,ADP,EXC,0.04692136801703222
109,CTAS,MELI,0.04697241086221409
32,ADSK,META,0.04700169038742785
133,DLTR,WBA,0.04714010377433608
48,AEP,FANG,0.04720684338908282
47,AEP,DLTR,0.047407792214524576
104,CTAS,INTU,0.04747716011499235
136,EA,INTC,0.04750719206705439
13,ADP,WBD,0.04762749788148702
131,DDOG,SPLK,0.04764762958490284
275,MCHP,ROST,0.04767641650446719
91,CEG,XEL,0.047710418245893074
264,MAR,NVDA,0.04787606472745887
78,BIIB,TEAM,0.04807483757657452
132,DDOG,VRSK,0.048389860871451675
137,EA,KLAC,0.0490288133654581
224,GFS,SIRI,0.04906592657608035
222,GFS,GILD,0.04907587232182461
105,CTAS,ISRG,0.0491662717072592
325,TTD,XEL,0.049282316679180906
223,GFS,PEP,0.04942651752577103
52,AEP,TTD,0.04948911674619237
306,PANW,VRTX,0.04961836475443203
324,TTD,WDAY,0.04993427747374072
5,ABNB,VRSK,0.04996575690934544
