,s1,s2,p-value
274,GEHC,MAR,0.0
289,GEHC,ON,0.0
290,GEHC,ORLY,0.0
291,GEHC,PANW,0.0
292,GEHC,PAYX,0.0
293,GEHC,PCAR,0.0
294,GEHC,PDD,0.0
295,GEHC,PEP,0.0
296,GEHC,PYPL,0.0
297,GEHC,QCOM,0.0
298,GEHC,REGN,0.0
299,GEHC,ROP,0.0
300,GEHC,ROST,0.0
301,GEHC,SBUX,0.0
302,GEHC,SIRI,0.0
303,GEHC,SNPS,0.0
304,GEHC,TEAM,0.0
305,GEHC,TMUS,0.0
306,GEHC,TSLA,0.0
307,GEHC,TTD,0.0
308,GEHC,TTWO,0.0
309,GEHC,TXN,0.0
310,GEHC,VRSK,0.0
311,GEHC,VRTX,0.0
312,GEHC,WBA,0.0
314,GEHC,WDAY,0.0
288,GEHC,ODFL,0.0
287,GEHC,NXPI,0.0
286,GEHC,NVDA,0.0
285,GEHC,NFLX,0.0
258,GEHC,GFS,0.0
259,GEHC,GILD,0.0
260,GEHC,GOOG,0.0
261,GEHC,GOOGL,0.0
262,GEHC,HON,0.0
263,GEHC,IDXX,0.0
264,GEHC,ILMN,0.0
265,GEHC,INTC,0.0
266,GEHC,INTU,0.0
267,GEHC,ISRG,0.0
268,GEHC,KDP,0.0
269,GEHC,KHC,0.0
315,GEHC,XEL,0.0
270,GEHC,KLAC,0.0
272,GEHC,LRCX,0.0
273,GEHC,LULU,0.0
275,GEHC,MCHP,0.0
276,GEHC,MDB,0.0
277,GEHC,MDLZ,0.0
278,GEHC,MELI,0.0
279,GEHC,META,0.0
280,GEHC,MNST,0.0
281,GEHC,MRNA,0.0
282,GEHC,MRVL,0.0
283,GEHC,MSFT,0.0
284,GEHC,MU,0.0
271,GEHC,LIN,0.0
316,GEHC,ZS,0.0
313,GEHC,WBD,0.0
480,NFLX,ORLY,3.7971583103483766e-06
348,IDXX,MCHP,1.845227991438543e-05
481,NFLX,PCAR,0.00010430665408178724
6,ABNB,AMD,0.00024193884174062027
21,ABNB,LRCX,0.0003023754990564271
527,PYPL,WDAY,0.0003143896703672892
518,PYPL,ROP,0.0003447235919562849
524,PYPL,VRSK,0.00038511387327221384
27,ABNB,NXPI,0.0005678371353489444
346,HON,TSLA,0.0005772470521412424
521,PYPL,SNPS,0.0007973455475822894
187,DASH,FAST,0.000818333707723433
7,ABNB,AVGO,0.0008854749262214684
96,ANSS,CCEP,0.0009097132556987534
58,ADSK,COST,0.0009584942935163094
523,PYPL,TTWO,0.0009922320391137387
47,ADI,IDXX,0.0010975300830069607
166,CTAS,PCAR,0.0011520538483744342
124,CCEP,ISRG,0.001193011180231659
490,NXPI,WDAY,0.0014331325510769227
473,MRNA,TTWO,0.0015296259396977603
44,ADI,ANSS,0.0015383460550197486
358,ILMN,INTU,0.0015788298699124447
56,ADSK,CDW,0.0016907256662919187
463,MNST,NFLX,0.001737291679202202
428,LRCX,MAR,0.0017432189302391424
349,IDXX,MDLZ,0.001860584935956042
522,PYPL,TTD,0.0021947780983210437
46,ADI,CCEP,0.002205979382778316
64,ADSK,FAST,0.0023042096264653637
19,ABNB,KLAC,0.002310146046754884
538,TTD,VRSK,0.0024595659436628036
158,CSCO,PYPL,0.0025381435230971434
350,IDXX,MNST,0.002786754274686231
66,ADSK,KLAC,0.002845021353451495
194,DASH,LRCX,0.0028875995650147128
327,GOOG,GOOGL,0.002923894321037057
22,ABNB,MAR,0.0032854215466296775
438,LULU,VRTX,0.0032908652066326463
334,GOOG,TTWO,0.0036970485723631877
431,LRCX,NXPI,0.0037294288655903432
123,CCEP,IDXX,0.003774114865804934
343,GOOGL,TTWO,0.0037845229221376737
162,CSX,FANG,0.003876307487263467
250,FAST,MAR,0.003946787448011978
87,AMAT,LIN,0.004035006537617292
198,DASH,MU,0.004190873477037329
195,DASH,MAR,0.004217972017258101
172,CTSH,INTC,0.00427969227053788
48,ADI,MDLZ,0.004282172879756153
99,ANSS,MDLZ,0.004338570817001881
539,TTD,WBA,0.004378911213252931
92,AMD,DASH,0.0045098677825715
109,AVGO,LRCX,0.0047753360142847355
216,DDOG,MRVL,0.0048515845017687576
23,ABNB,META,0.004864339505365324
244,EXC,TMUS,0.005114682193160184
63,ADSK,FANG,0.005118526479322537
409,KDP,PYPL,0.005120453690437336
377,ILMN,SNPS,0.005159170120567693
454,MDB,TTWO,0.0052958242498124765
535,SNPS,VRTX,0.005519093676808005
243,EXC,REGN,0.005616682073882184
197,DASH,MSFT,0.005894946143860162
140,CEG,FANG,0.005974820892147014
167,CTAS,VRTX,0.006006686580451636
249,FAST,LRCX,0.00605172708228095
525,PYPL,VRTX,0.006207248714311437
68,ADSK,LRCX,0.006250237752323232
147,COST,DASH,0.006414577868602427
74,ADSK,REGN,0.00645605609832944
115,AVGO,WDAY,0.006513089721240435
443,MAR,WDAY,0.006745373812647403
196,DASH,META,0.0070804937814022565
446,MCHP,MNST,0.007355491541290331
547,VRTX,WDAY,0.007429466155214254
120,BKNG,WDAY,0.007429797701943165
31,ABNB,PCAR,0.007543120007766385
65,ADSK,INTU,0.007709061188859469
114,AVGO,ROP,0.007719419325128347
442,MAR,ROP,0.007737477415946258
382,ILMN,WBA,0.00775947790490898
472,MRNA,TTD,0.007773884201383926
484,NFLX,ROST,0.007799088360608594
30,ABNB,PANW,0.007869955998998776
379,ILMN,TTWO,0.008142785818271915
401,KDP,META,0.008208645591992447
517,PYPL,REGN,0.008216835133238449
251,FAST,MU,0.008379639055250071
192,DASH,KLAC,0.008441611561440852
331,GOOG,MRNA,0.008523555968529923
340,GOOGL,MRNA,0.008555673639717352
405,KDP,NVDA,0.008707840289370128
75,ADSK,TMUS,0.008758503978614851
165,CTAS,NFLX,0.008938280686585696
84,AMAT,AVGO,0.008968690472470816
403,KDP,MSFT,0.008990685668182036
164,CTAS,KLAC,0.009022530116732251
496,PANW,TTWO,0.009030439856902814
155,CSCO,ODFL,0.009078785399993742
24,ABNB,MRNA,0.009325763126245164
88,AMAT,MAR,0.009416409800184856
202,DASH,PCAR,0.009788152542455672
345,HON,REGN,0.010111365850478731
519,PYPL,ROST,0.010198553666789598
419,KLAC,PCAR,0.01032965122023156
448,MCHP,ORLY,0.010685370877272046
16,ABNB,FAST,0.010759847295897356
118,AZN,MNST,0.0107672461732001
447,MCHP,NFLX,0.010814564448231359
457,MELI,ORLY,0.010933454054876534
420,KLAC,ROP,0.01100693866575404
91,AMAT,PCAR,0.011092985741352457
352,IDXX,ORLY,0.011140147302640147
485,NFLX,VRTX,0.011146738289667104
82,AEP,PYPL,0.011269902890415236
353,IDXX,PCAR,0.011272364876841277
392,ISRG,NXPI,0.01132389692762592
394,ISRG,VRTX,0.011545219283170633
26,ABNB,NVDA,0.011624040527429623
376,ILMN,ROP,0.011737959481742282
133,CCEP,WDAY,0.011889907389587022
549,WBD,XEL,0.011937512203556305
10,ABNB,CDNS,0.011970295702440799
375,ILMN,PANW,0.012067152083143308
533,ROP,WDAY,0.012082248795638675
528,PYPL,XEL,0.01214424547887772
76,ADSK,VRTX,0.012219098720428138
33,ABNB,ROP,0.012228734740377672
391,ISRG,MNST,0.012329122138414828
440,MAR,NXPI,0.012417447081655084
383,ILMN,WDAY,0.01245392816279565
13,ABNB,COST,0.01272366273907465
548,WBD,WDAY,0.012843668572964949
355,IDXX,ROST,0.013081246248766337
71,ADSK,ORLY,0.013098556513518536
247,FANG,REGN,0.013323657153034036
526,PYPL,WBA,0.013330282394175639
93,AMD,FAST,0.013346561765524744
180,CTSH,MRVL,0.013420910042714557
161,CSGP,WBD,0.013534178345603644
90,AMAT,NXPI,0.013620151675920554
436,LULU,PYPL,0.013782419467964463
317,GFS,GILD,0.013977740968448225
89,AMAT,NVDA,0.014235442485151921
396,KDP,LIN,0.014315357052351343
179,CTSH,MRNA,0.01465809864157828
380,ILMN,VRSK,0.014855153096598659
389,INTU,WBA,0.015040635410638738
54,ADSK,AMAT,0.015127411809503784
38,ABNB,WBA,0.015146021502299253
28,ABNB,ODFL,0.015200478693971791
371,ILMN,NFLX,0.015336265863034222
215,DDOG,MRNA,0.015362467566654674
498,PANW,WDAY,0.015416410593685587
248,FANG,XEL,0.015563211674804888
254,FTNT,KDP,0.01575909635424746
412,KDP,TTD,0.015916493011428102
107,AVGO,DASH,0.015978751872492127
229,EA,INTC,0.01615142567693746
458,MELI,PCAR,0.01624408405754318
387,INTU,PANW,0.016259835563619977
325,GFS,ZS,0.016340240251264692
542,TTWO,WBA,0.016493683319706173
37,ABNB,VRTX,0.01654082427962407
369,ILMN,MSFT,0.016698318138199043
146,CMCSA,PYPL,0.016823751875703775
257,FTNT,SIRI,0.016913243935977172
515,PCAR,WDAY,0.01691535838947491
182,CTSH,NXPI,0.01701717416649597
513,PAYX,ZS,0.01703551642379464
60,ADSK,CSX,0.017120516364349938
20,ABNB,LIN,0.017193433175041184
449,MCHP,PCAR,0.017245906015774724
61,ADSK,CTAS,0.017288136102867318
497,PANW,VRTX,0.01758188059481491
245,EXC,VRTX,0.01768249912517682
143,CHTR,DXCM,0.017864333815576304
25,ABNB,MSFT,0.017909759530463556
12,ABNB,CEG,0.018114366952545355
210,DDOG,INTC,0.01814648067513167
177,CTSH,MAR,0.018171841840494904
178,CTSH,META,0.0182091838051045
122,CCEP,DASH,0.018282616951308558
70,ADSK,MU,0.018325076105270156
491,NXPI,XEL,0.018718844328690008
14,ABNB,CPRT,0.01878204310460349
471,MRNA,PANW,0.018828054783858714
397,KDP,LRCX,0.01886841791233312
53,ADP,WBD,0.018887882154980017
321,GFS,PEP,0.019217745019590997
246,EXC,WBD,0.01925163170466605
414,KDP,VRSK,0.01926613652931631
5,ABNB,AMAT,0.019314107347984305
200,DASH,NXPI,0.019571607217477846
410,KDP,ROP,0.019652984699558663
487,NXPI,PCAR,0.019847308934231277
130,CCEP,NFLX,0.01995991271804808
67,ADSK,LIN,0.02016466092921479
416,KDP,WDAY,0.020174623979560716
435,LULU,PANW,0.020367986075707216
489,NXPI,SNPS,0.020604969845031334
57,ADSK,CEG,0.02075972570137857
15,ABNB,CTAS,0.021009287926207855
468,MNST,VRSK,0.021074327731966103
514,PCAR,ROP,0.021164023305656563
335,GOOG,WBA,0.021191969297522883
460,MELI,REGN,0.02123723973945202
