,s1,s2,p-value
6790,KVUE,PEP,0.0
6809,KVUE,PSX,0.0
6808,KVUE,PSA,0.0
6807,KVUE,PRU,0.0
6806,KVUE,PPL,0.0
6805,KVUE,PPG,0.0
6804,KVUE,POOL,0.0
6803,KVUE,PODD,0.0
6802,KVUE,PNW,0.0
6801,KVUE,PNR,0.0
6800,KVUE,PNC,0.0
6799,KVUE,PM,0.0
6798,KVUE,PLD,0.0
6797,KVUE,PKG,0.0
6796,KVUE,PHM,0.0
6795,KVUE,PH,0.0
6794,KVUE,PGR,0.0
6793,KVUE,PG,0.0
6792,KVUE,PFG,0.0
6791,KVUE,PFE,0.0
6925,KVUE,ZBRA,0.0
6789,KVUE,PEG,0.0
6810,KVUE,PTC,0.0
6788,KVUE,PEAK,0.0
6811,KVUE,PWR,0.0
6813,KVUE,PYPL,0.0
6834,KVUE,SEDG,0.0
6833,KVUE,SCHW,0.0
6832,KVUE,SBUX,0.0
6831,KVUE,SBAC,0.0
6830,KVUE,RVTY,0.0
6829,KVUE,RTX,0.0
6828,KVUE,RSG,0.0
6827,KVUE,ROST,0.0
6826,KVUE,ROP,0.0
6825,KVUE,ROL,0.0
6824,KVUE,ROK,0.0
6823,KVUE,RMD,0.0
6822,KVUE,RL,0.0
6821,KVUE,RJF,0.0
6820,KVUE,RHI,0.0
6819,KVUE,RF,0.0
6818,KVUE,REGN,0.0
6817,KVUE,REG,0.0
6816,KVUE,RCL,0.0
6815,KVUE,QRVO,0.0
6814,KVUE,QCOM,0.0
6812,KVUE,PXD,0.0
6787,KVUE,PCG,0.0
6786,KVUE,PCAR,0.0
6785,KVUE,PAYX,0.0
6764,KVUE,NSC,0.0
7923,VLTO,WM,0.0
6763,KVUE,NRG,0.0
7924,VLTO,WMB,0.0
6762,KVUE,NOW,0.0
6761,KVUE,NOC,0.0
6760,KVUE,NKE,0.0
6759,KVUE,NI,0.0
6758,KVUE,NFLX,0.0
6757,KVUE,NEM,0.0
6756,KVUE,NEE,0.0
6755,KVUE,NDSN,0.0
6754,KVUE,NDAQ,0.0
6753,KVUE,NCLH,0.0
7925,VLTO,WMT,0.0
6752,KVUE,MU,0.0
6751,KVUE,MTD,0.0
6750,KVUE,MTCH,0.0
6749,KVUE,MTB,0.0
6748,KVUE,MSI,0.0
7926,VLTO,WRB,0.0
7922,VLTO,WHR,0.0
6765,KVUE,NTAP,0.0
6766,KVUE,NTRS,0.0
6767,KVUE,NUE,0.0
6784,KVUE,PAYC,0.0
6783,KVUE,PARA,0.0
7917,VLTO,WBD,0.0
7918,VLTO,WDC,0.0
7919,VLTO,WEC,0.0
6782,KVUE,PANW,0.0
7920,VLTO,WELL,0.0
7921,VLTO,WFC,0.0
6781,KVUE,OXY,0.0
6780,KVUE,OTIS,0.0
6835,KVUE,SEE,0.0
6779,KVUE,ORLY,0.0
6777,KVUE,ON,0.0
6776,KVUE,OMC,0.0
6775,KVUE,OKE,0.0
6774,KVUE,ODFL,0.0
6773,KVUE,O,0.0
6772,KVUE,NXPI,0.0
6771,KVUE,NWSA,0.0
6770,KVUE,NWS,0.0
6769,KVUE,NVR,0.0
6768,KVUE,NVDA,0.0
6778,KVUE,ORCL,0.0
6747,KVUE,MSFT,0.0
6836,KVUE,SHW,0.0
6838,KVUE,SLB,0.0
6900,KVUE,VZ,0.0
6899,KVUE,VTRS,0.0
6898,KVUE,VTR,0.0
6897,KVUE,VRTX,0.0
6896,KVUE,VRSN,0.0
6895,KVUE,VRSK,0.0
6894,KVUE,VMC,0.0
6893,KVUE,VLO,0.0
6892,KVUE,VICI,0.0
6891,KVUE,VFC,0.0
6890,KVUE,V,0.0
6889,KVUE,USB,0.0
6888,KVUE,URI,0.0
6887,KVUE,UPS,0.0
6886,KVUE,UNP,0.0
6885,KVUE,UNH,0.0
6884,KVUE,ULTA,0.0
6883,KVUE,UHS,0.0
6882,KVUE,UDR,0.0
6881,KVUE,UAL,0.0
6880,KVUE,TYL,0.0
6901,KVUE,WAB,0.0
6879,KVUE,TXT,0.0
6902,KVUE,WAT,0.0
6904,KVUE,WBD,0.0
6923,KVUE,YUM,0.0
6922,KVUE,XYL,0.0
6921,KVUE,XRAY,0.0
6920,KVUE,XOM,0.0
6919,KVUE,XEL,0.0
6918,KVUE,WYNN,0.0
6917,KVUE,WY,0.0
6916,KVUE,WTW,0.0
6926,KVUE,ZION,0.0
6927,KVUE,ZTS,0.0
6915,KVUE,WST,0.0
6914,KVUE,WRK,0.0
6913,KVUE,WRB,0.0
6912,KVUE,WMT,0.0
6911,KVUE,WMB,0.0
6910,KVUE,WM,0.0
6909,KVUE,WHR,0.0
6908,KVUE,WFC,0.0
6907,KVUE,WELL,0.0
6906,KVUE,WEC,0.0
6905,KVUE,WDC,0.0
6903,KVUE,WBA,0.0
6878,KVUE,TXN,0.0
6877,KVUE,TTWO,0.0
6876,KVUE,TT,0.0
7909,VLTO,VRSN,0.0
6856,KVUE,TAP,0.0
7908,VLTO,VRSK,0.0
7907,VLTO,VMC,0.0
6855,KVUE,T,0.0
6854,KVUE,SYY,0.0
6853,KVUE,SYK,0.0
6852,KVUE,SYF,0.0
6851,KVUE,SWKS,0.0
6850,KVUE,SWK,0.0
6849,KVUE,STZ,0.0
6848,KVUE,STX,0.0
6847,KVUE,STT,0.0
6846,KVUE,STLD,0.0
6845,KVUE,STE,0.0
6844,KVUE,SRE,0.0
6843,KVUE,SPGI,0.0
6842,KVUE,SPG,0.0
6841,KVUE,SO,0.0
6840,KVUE,SNPS,0.0
6839,KVUE,SNA,0.0
6857,KVUE,TDG,0.0
6858,KVUE,TDY,0.0
6859,KVUE,TECH,0.0
6860,KVUE,TEL,0.0
6875,KVUE,TSN,0.0
6874,KVUE,TSLA,0.0
6873,KVUE,TSCO,0.0
6872,KVUE,TRV,0.0
6871,KVUE,TROW,0.0
6870,KVUE,TRMB,0.0
6869,KVUE,TRGP,0.0
6868,KVUE,TPR,0.0
6867,KVUE,TMUS,0.0
7916,VLTO,WBA,0.0
6837,KVUE,SJM,0.0
7915,VLTO,WAT,0.0
7913,VLTO,VZ,0.0
7912,VLTO,VTRS,0.0
6866,KVUE,TMO,0.0
6865,KVUE,TJX,0.0
6864,KVUE,TGT,0.0
6863,KVUE,TFX,0.0
6862,KVUE,TFC,0.0
6861,KVUE,TER,0.0
7911,VLTO,VTR,0.0
7910,VLTO,VRTX,0.0
7914,VLTO,WAB,0.0
6746,KVUE,MSCI,0.0
6924,KVUE,ZBH,0.0
6729,KVUE,MGM,0.0
7936,VLTO,YUM,0.0
6717,KVUE,MA,0.0
7935,VLTO,XYL,0.0
6718,KVUE,MAA,0.0
6719,KVUE,MAR,0.0
6720,KVUE,MAS,0.0
7934,VLTO,XRAY,0.0
6721,KVUE,MCD,0.0
6716,KVUE,LYV,0.0
6722,KVUE,MCHP,0.0
6724,KVUE,MCO,0.0
6725,KVUE,MDLZ,0.0
6726,KVUE,MDT,0.0
6727,KVUE,MET,0.0
7933,VLTO,XOM,0.0
6728,KVUE,META,0.0
7932,VLTO,XEL,0.0
6730,KVUE,MHK,0.0
6723,KVUE,MCK,0.0
6731,KVUE,MKC,0.0
6715,KVUE,LYB,0.0
6714,KVUE,LW,0.0
6706,KVUE,LLY,0.0
6705,KVUE,LKQ,0.0
6704,KVUE,LIN,0.0
6703,KVUE,LHX,0.0
6702,KVUE,LH,0.0
6701,KVUE,LEN,0.0
6708,KVUE,LNT,0.0
6700,KVUE,LDOS,0.0
7937,VLTO,ZBH,0.0
6699,KVUE,L,0.0
7940,VLTO,ZTS,0.0
7939,VLTO,ZION,0.0
6710,KVUE,LRCX,0.0
6711,KVUE,LULU,0.0
7938,VLTO,ZBRA,0.0
7927,VLTO,WRK,0.0
6712,KVUE,LUV,0.0
6713,KVUE,LVS,0.0
6709,KVUE,LOW,0.0
6732,KVUE,MKTX,0.0
6707,KVUE,LMT,0.0
6740,KVUE,MPC,0.0
7928,VLTO,WST,0.0
6734,KVUE,MMC,0.0
6744,KVUE,MRO,0.0
6735,KVUE,MMM,0.0
6742,KVUE,MRK,0.0
6736,KVUE,MNST,0.0
6743,KVUE,MRNA,0.0
6733,KVUE,MLM,0.0
6737,KVUE,MO,0.0
7929,VLTO,WTW,0.0
6738,KVUE,MOH,0.0
6741,KVUE,MPWR,0.0
6745,KVUE,MS,0.0
6739,KVUE,MOS,0.0
7930,VLTO,WY,0.0
