,s1,s2,p-value
10445,KVUE,PAYX,0.0
3625,CEG,FITB,0.0
3762,CEG,MU,0.0
3626,CEG,FLT,0.0
3627,CEG,FMC,0.0
3761,CEG,MTD,0.0
3628,CEG,FOX,0.0
3760,CEG,MTCH,0.0
3629,CEG,FOXA,0.0
3630,CEG,FRT,0.0
3631,CEG,FSLR,0.0
3632,CEG,FTNT,0.0
3633,CEG,FTV,0.0
3634,CEG,GD,0.0
3635,CEG,GE,0.0
3759,CEG,MTB,0.0
3636,CEG,GEN,0.0
3758,CEG,MSI,0.0
3637,CEG,GILD,0.0
3638,CEG,GIS,0.0
10359,KVUE,L,0.0
10360,KVUE,LDOS,0.0
10361,KVUE,LEN,0.0
3757,CEG,MSFT,0.0
10362,KVUE,LH,0.0
3756,CEG,MSCI,0.0
10363,KVUE,LHX,0.0
10364,KVUE,LIN,0.0
10365,KVUE,LKQ,0.0
3755,CEG,MS,0.0
3624,CEG,FIS,0.0
3754,CEG,MRO,0.0
3623,CEG,FICO,0.0
3621,CEG,FFIV,0.0
3599,CEG,EPAM,0.0
3600,CEG,EQIX,0.0
3601,CEG,EQR,0.0
3602,CEG,EQT,0.0
3603,CEG,ES,0.0
3604,CEG,ESS,0.0
3605,CEG,ETN,0.0
3606,CEG,ETR,0.0
3607,CEG,ETSY,0.0
3769,CEG,NI,0.0
3768,CEG,NFLX,0.0
3767,CEG,NEM,0.0
3608,CEG,EVRG,0.0
3609,CEG,EW,0.0
3766,CEG,NEE,0.0
3610,CEG,EXC,0.0
3611,CEG,EXPD,0.0
3612,CEG,EXPE,0.0
3765,CEG,NDSN,0.0
3613,CEG,EXR,0.0
3614,CEG,F,0.0
3764,CEG,NDAQ,0.0
3763,CEG,NCLH,0.0
3615,CEG,FANG,0.0
3616,CEG,FAST,0.0
3617,CEG,FCX,0.0
3618,CEG,FDS,0.0
3619,CEG,FDX,0.0
3620,CEG,FE,0.0
3622,CEG,FI,0.0
3753,CEG,MRNA,0.0
3752,CEG,MRK,0.0
10366,KVUE,LLY,0.0
10387,KVUE,MET,0.0
3741,CEG,MKC,0.0
10388,KVUE,META,0.0
3740,CEG,MHK,0.0
3739,CEG,MGM,0.0
3738,CEG,META,0.0
3737,CEG,MET,0.0
3643,CEG,GOOG,0.0
3736,CEG,MDT,0.0
10389,KVUE,MGM,0.0
10390,KVUE,MHK,0.0
10391,KVUE,MKC,0.0
3735,CEG,MDLZ,0.0
10392,KVUE,MKTX,0.0
3734,CEG,MCO,0.0
3733,CEG,MCK,0.0
10393,KVUE,MLM,0.0
10394,KVUE,MMC,0.0
3732,CEG,MCHP,0.0
10395,KVUE,MMM,0.0
3731,CEG,MCD,0.0
3730,CEG,MAS,0.0
3729,CEG,MAR,0.0
10396,KVUE,MNST,0.0
3644,CEG,GOOGL,0.0
10397,KVUE,MO,0.0
10398,KVUE,MOH,0.0
3728,CEG,MAA,0.0
3727,CEG,MA,0.0
10386,KVUE,MDT,0.0
10385,KVUE,MDLZ,0.0
10384,KVUE,MCO,0.0
3642,CEG,GNRC,0.0
