,s1,s2,p-value
3932,KVUE,PRU,0.0
3826,KVUE,LEN,0.0
3958,KVUE,SCHW,0.0
3827,KVUE,LH,0.0
3828,KVUE,LHX,0.0
3829,KVUE,LIN,0.0
3830,KVUE,LKQ,0.0
3825,KVUE,LDOS,0.0
3831,KVUE,LLY,0.0
3833,KVUE,LNT,0.0
3834,KVUE,LOW,0.0
3835,KVUE,LRCX,0.0
3836,KVUE,LULU,0.0
3837,KVUE,LUV,0.0
3838,KVUE,LVS,0.0
3832,KVUE,LMT,0.0
3824,KVUE,L,0.0
3959,KVUE,SEDG,0.0
3960,KVUE,SEE,0.0
3974,KVUE,STZ,0.0
3973,KVUE,STX,0.0
3972,KVUE,STT,0.0
3971,KVUE,STLD,0.0
3970,KVUE,STE,0.0
3969,KVUE,SRE,0.0
3968,KVUE,SPGI,0.0
3967,KVUE,SPG,0.0
3966,KVUE,SO,0.0
3965,KVUE,SNPS,0.0
3964,KVUE,SNA,0.0
3963,KVUE,SLB,0.0
4050,KVUE,ZBRA,0.0
3962,KVUE,SJM,0.0
3961,KVUE,SHW,0.0
3839,KVUE,LW,0.0
3975,KVUE,SWK,0.0
4051,KVUE,ZION,0.0
3841,KVUE,LYV,0.0
3858,KVUE,MLM,0.0
3859,KVUE,MMC,0.0
3860,KVUE,MMM,0.0
3861,KVUE,MNST,0.0
3954,KVUE,RTX,0.0
3953,KVUE,RSG,0.0
3857,KVUE,MKTX,0.0
3862,KVUE,MO,0.0
3952,KVUE,ROST,0.0
3864,KVUE,MOS,0.0
3865,KVUE,MPC,0.0
3866,KVUE,MPWR,0.0
3867,KVUE,MRK,0.0
3951,KVUE,ROP,0.0
3863,KVUE,MOH,0.0
3856,KVUE,MKC,0.0
3855,KVUE,MHK,0.0
3955,KVUE,RVTY,0.0
3842,KVUE,MA,0.0
3843,KVUE,MAA,0.0
3957,KVUE,SBUX,0.0
3844,KVUE,MAR,0.0
3845,KVUE,MAS,0.0
3846,KVUE,MCD,0.0
3847,KVUE,MCHP,0.0
3848,KVUE,MCK,0.0
3849,KVUE,MCO,0.0
3850,KVUE,MDLZ,0.0
3851,KVUE,MDT,0.0
3852,KVUE,MET,0.0
3853,KVUE,META,0.0
3854,KVUE,MGM,0.0
3956,KVUE,SBAC,0.0
4052,KVUE,ZTS,0.0
3976,KVUE,SWKS,0.0
3977,KVUE,SYF,0.0
3978,KVUE,SYK,0.0
4019,KVUE,VMC,0.0
4018,KVUE,VLO,0.0
4017,KVUE,VICI,0.0
4016,KVUE,VFC,0.0
4015,KVUE,V,0.0
4039,KVUE,WRK,0.0
4038,KVUE,WRB,0.0
4014,KVUE,USB,0.0
4040,KVUE,WST,0.0
4041,KVUE,WTW,0.0
4012,KVUE,UPS,0.0
4011,KVUE,UNP,0.0
4010,KVUE,UNH,0.0
4009,KVUE,ULTA,0.0
4013,KVUE,URI,0.0
4020,KVUE,VRSK,0.0
4021,KVUE,VRSN,0.0
4037,KVUE,WMT,0.0
4032,KVUE,WELL,0.0
4031,KVUE,WEC,0.0
4030,KVUE,WDC,0.0
4029,KVUE,WBD,0.0
4033,KVUE,WFC,0.0
4028,KVUE,WBA,0.0
4034,KVUE,WHR,0.0
4027,KVUE,WAT,0.0
4026,KVUE,WAB,0.0
4035,KVUE,WM,0.0
4025,KVUE,VZ,0.0
4024,KVUE,VTRS,0.0
4023,KVUE,VTR,0.0
