,s1,s2,p-value
173,GEHC,KLAC,0.0
190,GEHC,ODFL,0.0
189,GEHC,NXPI,0.0
188,GEHC,NVDA,0.0
187,GEHC,NFLX,0.0
186,GEHC,MU,0.0
185,GEHC,MSFT,0.0
184,GEHC,MRVL,0.0
183,GEHC,MRNA,0.0
182,GEHC,MNST,0.0
181,GEHC,META,0.0
180,GEHC,MELI,0.0
179,GEHC,MDLZ,0.0
178,GEHC,MDB,0.0
177,GEHC,MCHP,0.0
176,GEHC,MAR,0.0
175,GEHC,LULU,0.0
174,GEHC,LRCX,0.0
172,GEHC,KHC,0.0
171,GEHC,KDP,0.0
170,GEHC,ISRG,0.0
169,GEHC,INTU,0.0
168,GEHC,INTC,0.0
167,GEHC,ILMN,0.0
166,GEHC,IDXX,0.0
165,GEHC,HON,0.0
164,GEHC,GOOGL,0.0
163,GEHC,GOOG,0.0
162,GEHC,GILD,0.0
161,GEHC,GFS,0.0
191,GEHC,ON,0.0
192,GEHC,ORLY,0.0
193,GEHC,PANW,0.0
210,GEHC,TTD,0.0
218,GEHC,XEL,0.0
217,GEHC,WDAY,0.0
216,GEHC,WBD,0.0
215,GEHC,WBA,0.0
214,GEHC,VRTX,0.0
213,GEHC,VRSK,0.0
212,GEHC,TXN,0.0
211,GEHC,TTWO,0.0
194,GEHC,PAYX,0.0
209,GEHC,TSLA,0.0
208,GEHC,TMUS,0.0
207,GEHC,TEAM,0.0
206,GEHC,SPLK,0.0
205,GEHC,SNPS,0.0
204,GEHC,SIRI,0.0
203,GEHC,SBUX,0.0
202,GEHC,ROST,0.0
201,GEHC,ROP,0.0
200,GEHC,REGN,0.0
199,GEHC,QCOM,0.0
198,GEHC,PYPL,0.0
197,GEHC,PEP,0.0
196,GEHC,PDD,0.0
195,GEHC,PCAR,0.0
219,GEHC,ZS,0.0
331,TTD,VRSK,2.0203030458690487e-05
63,AMD,FAST,0.0002156791849601397
155,FAST,MU,0.00041555593022399236
232,GOOG,TTWO,0.00046876825638628795
20,ADSK,COST,0.00047581774829468047
236,GOOGL,TTWO,0.0004992264092028386
229,GOOG,GOOGL,0.0005937356134838159
71,AVGO,LRCX,0.0006459980152554682
258,LRCX,MAR,0.0013950141641532572
0,AAPL,TTD,0.0014559655651796147
153,FAST,MAR,0.001615541190780657
25,ADSK,FAST,0.001651857196585356
12,ADI,MDLZ,0.002059871401593727
57,AMAT,FAST,0.0022350163325105333
147,FANG,REGN,0.0022523858802163854
297,MU,ROP,0.0022966757884247935
106,CSX,DASH,0.0023815437008192584
234,GOOGL,MDB,0.002706895074213635
230,GOOG,MDB,0.0029208415100785766
157,FAST,PANW,0.002973206664539836
118,DASH,FAST,0.003080044965873858
241,INTU,PANW,0.0031133313273898748
29,ADSK,LULU,0.003423543476612879
336,TTWO,VRSK,0.003819432185296293
26,ADSK,INTU,0.003944768527314499
108,CSX,INTU,0.00414147778873928
42,ADSK,VRTX,0.004251645227392118
110,CTAS,KLAC,0.004451363233420406
28,ADSK,LRCX,0.004943847073500307
91,CEG,NFLX,0.005157973044047865
114,CTAS,PCAR,0.005251896360190868
109,CSX,META,0.0053285523932468035
115,CTAS,VRTX,0.005362990864691733
149,FANG,VRTX,0.005485211270808751
10,ADI,CCEP,0.005625508369793012
140,EXC,REGN,0.005744418741260548
37,ADSK,PDD,0.005798568504279826
113,CTAS,NFLX,0.005814383277760309
124,DASH,MU,0.006147484449003081
328,SNPS,VRTX,0.006194882345093323
141,EXC,TMUS,0.00621882892821989
333,TTD,WBA,0.006252082032890775
22,ADSK,CTAS,0.0063994207028352035
292,MSFT,PANW,0.00646513565746936
312,NXPI,VRSK,0.006720732336373424
24,ADSK,FANG,0.007054378166110711
260,LRCX,NXPI,0.007254106433634354
158,FAST,WDAY,0.007305938356496484
130,DDOG,MRVL,0.007694601636932349
281,MDB,TTWO,0.007733673509696492
332,TTD,VRTX,0.008387766875077965
58,AMAT,MAR,0.008513870642104656
50,AEP,PYPL,0.008785855633350294
154,FAST,MSFT,0.00888226542224581
300,MU,VRSK,0.009006030590034344
89,CEG,FANG,0.009121244105455803
55,AMAT,AVGO,0.009325864252059312
319,PAYX,ZS,0.009446476588269035
296,MU,PANW,0.010178404308629435
238,HON,REGN,0.01059520738370599
61,AMAT,ROP,0.010776818687332856
266,LULU,VRTX,0.010815794353634079
276,MCHP,NFLX,0.011374673686705026
35,ADSK,PANW,0.011398625785689889
320,PCAR,VRTX,0.011550411139552312
99,COST,INTU,0.011617736558949196
271,MAR,ROP,0.012071112622886798
302,MU,WDAY,0.012386674199124465
59,AMAT,NVDA,0.012611539993422318
38,ADSK,REGN,0.01370415293307658
269,MAR,NXPI,0.013764088881274538
237,GOOGL,VRSK,0.013932794142731731
248,KDP,NVDA,0.01449038424918051
323,PYPL,SNPS,0.014543295556452522
142,EXC,VRTX,0.015020780533653558
233,GOOG,VRSK,0.015175700502635087
277,MCHP,ORLY,0.015295880158115815
54,AEP,WBA,0.015320521545079596
327,ROP,WDAY,0.015374955526334872
73,AVGO,NXPI,0.015583289659853231
34,ADSK,ORLY,0.015937687623612477
2,AAPL,VRSK,0.016980792171840172
265,LULU,ROP,0.016990563750374346
129,DDOG,INTC,0.01702463496012245
143,EXC,WBD,0.017133855042498387
290,MRNA,TTD,0.0172103373791943
308,NFLX,VRTX,0.017444437289184208
45,AEP,CEG,0.01750100243937349
244,KDP,LRCX,0.017692129692637944
16,ADSK,AVGO,0.01803831987262467
