,s1,s2,p-value
215,GEHC,KLAC,0.0
222,GEHC,MELI,0.0
223,GEHC,META,0.0
224,GEHC,MNST,0.0
225,GEHC,MRNA,0.0
226,GEHC,MRNA,0.0
227,GEHC,MRVL,0.0
228,GEHC,MSFT,0.0
229,GEHC,MU,0.0
221,GEHC,MDLZ,0.0
230,GEHC,NFLX,0.0
232,GEHC,NXPI,0.0
233,GEHC,ODFL,0.0
234,GEHC,ON,0.0
235,GEHC,ORLY,0.0
236,GEHC,PANW,0.0
237,GEHC,PAYX,0.0
238,GEHC,PCAR,0.0
239,GEHC,PDD,0.0
231,GEHC,NVDA,0.0
241,GEHC,PYPL,0.0
220,GEHC,MDB,0.0
218,GEHC,MAR,0.0
199,GEHC,GFS,0.0
200,GEHC,GILD,0.0
201,GEHC,GILD,0.0
202,GEHC,GOOG,0.0
203,GEHC,GOOGL,0.0
204,GEHC,HON,0.0
205,GEHC,IDXX,0.0
206,GEHC,IDXX,0.0
219,GEHC,MCHP,0.0
207,GEHC,ILMN,0.0
209,GEHC,INTC,0.0
210,GEHC,INTU,0.0
211,GEHC,ISRG,0.0
212,GEHC,ISRG,0.0
213,GEHC,KDP,0.0
214,GEHC,KHC,0.0
216,GEHC,LRCX,0.0
217,GEHC,LULU,0.0
208,GEHC,ILMN,0.0
242,GEHC,QCOM,0.0
240,GEHC,PEP,0.0
244,GEHC,REGN,0.0
265,GEHC,ZS,0.0
264,GEHC,XEL,0.0
243,GEHC,REGN,0.0
262,GEHC,WBD,0.0
261,GEHC,WBA,0.0
260,GEHC,WBA,0.0
259,GEHC,VRTX,0.0
258,GEHC,VRTX,0.0
257,GEHC,VRSK,0.0
256,GEHC,TXN,0.0
255,GEHC,TTWO,0.0
263,GEHC,WDAY,0.0
248,GEHC,SIRI,0.0
245,GEHC,ROP,0.0
246,GEHC,ROST,0.0
247,GEHC,SBUX,0.0
249,GEHC,SNPS,0.0
250,GEHC,SPLK,0.0
254,GEHC,TTD,0.0
252,GEHC,TMUS,0.0
253,GEHC,TSLA,0.0
251,GEHC,TEAM,0.0
412,TTD,VRSK,3.788252972376691e-05
193,FAST,MU,5.406694587520563e-05
370,MU,ROP,0.0003934215008333572
369,MU,ROP,0.0003934215008333572
28,ADSK,COST,0.00040866666526648477
278,GOOG,TTWO,0.0005237977606477774
277,GOOG,TTWO,0.0005237977606477774
91,AVGO,LRCX,0.0005466903123296813
90,AVGO,LRCX,0.0005466903123296813
282,GOOGL,TTWO,0.0005532738608366075
283,GOOGL,TTWO,0.0005532738608366075
81,AMD,FAST,0.000807283714471435
274,GOOG,GOOGL,0.0010345129327216645
273,GOOG,GOOGL,0.0010345129327216645
312,LRCX,MAR,0.001259884757072728
33,ADSK,FAST,0.00138644931281457
366,MU,PANW,0.0017640168574503332
365,MU,PANW,0.0017640168574503332
127,CSX,DASH,0.001837320231234938
280,GOOGL,MDB,0.0018659852834628412
289,INTU,PANW,0.0019011244499039153
288,INTU,PANW,0.0019011244499039153
57,ADSK,VRTX,0.0020656272672554587
16,ADI,MDLZ,0.002099056381972079
275,GOOG,MDB,0.0021136566646869706
0,AAPL,TTD,0.0021761938672182676
1,AAPL,TTD,0.0021761938672182676
185,FANG,REGN,0.002557441950654224
191,FAST,MAR,0.0025868695285909656
375,MU,VRSK,0.0028860789648382174
38,ADSK,LULU,0.002952943309858253
129,CSX,META,0.003257547904503732
167,DDOG,PAYX,0.0033969071247938283
35,ADSK,INTU,0.0034784338564003677
34,ADSK,INTU,0.0034784338564003677
195,FAST,PANW,0.0035127036578445877
49,ADSK,PDD,0.004054096319044808
359,MSFT,PANW,0.004124165273180812
360,MSFT,PANW,0.004124165273180812
71,AMAT,FAST,0.004142645856001444
30,ADSK,CTAS,0.00420872599859521
150,DASH,FAST,0.004220388935918879
156,DASH,MU,0.004302593966644991
132,CTAS,KLAC,0.004463082466055732
138,CTAS,PCAR,0.004598142525788188
137,CTAS,PCAR,0.004598142525788188
