,s1,s2,p-value
174,GEHC,LULU,0.0
189,GEHC,ODFL,0.0
188,GEHC,NXPI,0.0
187,GEHC,NVDA,0.0
186,GEHC,NFLX,0.0
185,GEHC,MU,0.0
184,GEHC,MSFT,0.0
183,GEHC,MRVL,0.0
182,GEHC,MRNA,0.0
181,GEHC,MNST,0.0
180,GEHC,META,0.0
179,GEHC,MELI,0.0
178,GEHC,MDLZ,0.0
177,GEHC,MDB,0.0
176,GEHC,MCHP,0.0
175,GEHC,MAR,0.0
173,GEHC,LRCX,0.0
172,GEHC,KLAC,0.0
171,GEHC,KHC,0.0
170,GEHC,KDP,0.0
169,GEHC,ISRG,0.0
168,GEHC,INTU,0.0
167,GEHC,INTC,0.0
166,GEHC,ILMN,0.0
165,GEHC,IDXX,0.0
164,GEHC,HON,0.0
163,GEHC,GOOGL,0.0
162,GEHC,GOOG,0.0
161,GEHC,GILD,0.0
160,GEHC,GFS,0.0
190,GEHC,ON,0.0
192,GEHC,PANW,0.0
191,GEHC,ORLY,0.0
194,GEHC,PCAR,0.0
218,GEHC,ZS,0.0
217,GEHC,XEL,0.0
216,GEHC,WDAY,0.0
215,GEHC,WBD,0.0
214,GEHC,WBA,0.0
213,GEHC,VRTX,0.0
212,GEHC,VRSK,0.0
211,GEHC,TXN,0.0
210,GEHC,TTWO,0.0
193,GEHC,PAYX,0.0
208,GEHC,TSLA,0.0
207,GEHC,TMUS,0.0
206,GEHC,TEAM,0.0
209,GEHC,TTD,0.0
204,GEHC,SNPS,0.0
205,GEHC,SPLK,0.0
196,GEHC,PEP,0.0
197,GEHC,PYPL,0.0
198,GEHC,QCOM,0.0
199,GEHC,REGN,0.0
195,GEHC,PDD,0.0
201,GEHC,ROST,0.0
202,GEHC,SBUX,0.0
203,GEHC,SIRI,0.0
200,GEHC,ROP,0.0
335,TTD,VRSK,2.008192311358412e-05
21,ADSK,COST,0.00010050225338569743
62,AMD,FAST,0.0001966815094948775
69,AVGO,LRCX,0.0005067441304556239
153,FAST,MU,0.0005920574922306522
226,GOOG,GOOGL,0.0006119300040792753
229,GOOG,TTWO,0.0006529769651556194
233,GOOGL,TTWO,0.0006876541476839128
