,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,GEHC,TECH,2023-8-7,0.0,2023-8-8,-1.0,-1.0469099950995282
1,GEHC,LLY,2023-8-7,0.0,2023-8-8,-1.0,-5.81003036397431
2,GEHC,OGN,2023-8-7,0.0,2023-8-8,-1.0,-0.2709532892205826
3,GEHC,PFE,2023-8-7,0.0,2023-8-8,-1.0,-0.4498902747731162
4,ROL,SEE,2023-8-7,0.0,2023-8-8,1.0,-1.01507340068009
5,PM,STZ,2023-8-7,0.0,2023-8-8,-1.0,-2.696743990418546
6,APTV,BBY,2023-8-7,1.0,2023-8-8,0.0,-0.7513808878356825
