,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,ABNB,LRCX,2024-4-1,0.0,2024-4-2,0.0,-5.835485525624652
1,PYPL,VRSK,2024-4-1,1.0,2024-4-2,0.0,-3.6668323173553317
2,ABNB,NXPI,2024-4-1,0.0,2024-4-2,0.0,-1.4862899542555104
3,HON,TSLA,2024-4-1,0.0,2024-4-2,0.0,-0.8707049538609642
4,DASH,FAST,2024-4-1,0.0,2024-4-2,0.0,-0.5636329867884355
5,ABNB,AVGO,2024-4-1,0.0,2024-4-2,0.0,-8.008660245036985
6,PYPL,TTWO,2024-4-1,0.0,2024-4-2,-1.0,-2.304224519501877
7,CCEP,ISRG,2024-4-1,0.0,2024-4-2,0.0,-5.463062742553961
8,NXPI,WDAY,2024-4-1,0.0,2024-4-2,0.0,-1.128309573372211
9,MRNA,TTWO,2024-4-1,0.0,2024-4-2,0.0,-1.4109877981642132
10,ADI,ANSS,2024-4-1,0.0,2024-4-2,0.0,-1.7563792975014603
11,ADSK,CDW,2024-4-1,0.0,2024-4-2,0.0,-0.9662516878298388
12,MNST,NFLX,2024-4-1,0.0,2024-4-2,0.0,-10.2254410321014
13,LRCX,MAR,2024-4-1,0.0,2024-4-2,0.0,-0.2620845547360683
14,IDXX,MDLZ,2024-4-1,0.0,2024-4-2,0.0,-0.1311144462993094
15,ADSK,FAST,2024-4-1,0.0,2024-4-2,0.0,-0.29248996314169246
16,ABNB,KLAC,2024-4-1,0.0,2024-4-2,0.0,-4.242114125407957
17,TTD,VRSK,2024-4-1,0.0,2024-4-2,0.0,-2.779807684791409
18,CSCO,PYPL,2024-4-1,0.0,2024-4-2,0.0,-1.240638996053542
19,IDXX,MNST,2024-4-1,0.0,2024-4-2,0.0,-0.10893678939783287
20,ADSK,KLAC,2024-4-1,0.0,2024-4-2,0.0,-2.675364704894744
21,DASH,LRCX,2024-4-1,0.0,2024-4-2,0.0,-7.098147004595831
22,GOOG,GOOGL,2024-4-1,0.0,2024-4-2,1.0,-0.9858828377354488
23,ABNB,MAR,2024-4-1,0.0,2024-4-2,0.0,-1.5305189718746406
24,GOOG,TTWO,2024-4-1,0.0,2024-4-2,0.0,-0.9934329228040486
25,LRCX,NXPI,2024-4-1,0.0,2024-4-2,0.0,-0.2545762585192528
26,CCEP,IDXX,2024-4-1,0.0,2024-4-2,0.0,-7.490642979370354
27,GOOGL,TTWO,2024-4-1,0.0,2024-4-2,0.0,-1.0008845601203231
28,FAST,MAR,2024-4-1,0.0,2024-4-2,0.0,-3.261717858554422
29,AMAT,LIN,2024-4-1,0.0,2024-4-2,0.0,-2.249593566026224
30,DASH,MAR,2024-4-1,0.0,2024-4-2,0.0,-1.860739165970736
31,ADI,MDLZ,2024-4-1,0.0,2024-4-2,0.0,-0.3637945692881451
32,TTD,WBA,2024-4-1,0.0,2024-4-2,0.0,-0.242204122717822
33,AVGO,LRCX,2024-4-1,0.0,2024-4-2,0.0,-0.7283698162848877
34,DDOG,MRVL,2024-4-1,0.0,2024-4-2,0.0,-0.5619633228771012
35,ABNB,META,2024-4-1,1.0,2024-4-2,0.0,-3.0152103934225294
36,EXC,TMUS,2024-4-1,0.0,2024-4-2,0.0,-4.341472108094959
37,ADSK,FANG,2024-4-1,0.0,2024-4-2,0.0,-0.7350938938488798
38,KDP,PYPL,2024-4-1,0.0,2024-4-2,0.0,-2.022641768473632
39,DASH,MSFT,2024-4-1,0.0,2024-4-2,0.0,-3.1132128998578956
40,CEG,FANG,2024-4-1,0.0,2024-4-2,0.0,-1.0804373850248
41,FAST,LRCX,2024-4-1,0.0,2024-4-2,0.0,-12.452879596060818
42,PYPL,VRTX,2024-4-1,0.0,2024-4-2,0.0,-6.494121679885849
43,ADSK,LRCX,2024-4-1,0.0,2024-4-2,0.0,-3.680403624373246
44,COST,DASH,2024-4-1,0.0,2024-4-2,0.0,-0.18256857257893866
45,ADSK,REGN,2024-4-1,0.0,2024-4-2,0.0,-3.7196472631204545
46,AVGO,WDAY,2024-4-1,0.0,2024-4-2,0.0,-0.21043367677794272
47,MAR,WDAY,2024-4-1,0.0,2024-4-2,0.0,-1.0958803982143475
48,VRTX,WDAY,2024-4-1,0.0,2024-4-2,0.0,-0.660067287958648
49,BKNG,WDAY,2024-4-1,0.0,2024-4-2,0.0,-0.07717197108738438
50,ADSK,INTU,2024-4-1,0.0,2024-4-2,0.0,-2.4819929361641906
51,AVGO,ROP,2024-4-1,0.0,2024-4-2,0.0,-0.4215502361178307
52,ILMN,WBA,2024-4-1,0.0,2024-4-2,0.0,-0.15341396247035566
53,MRNA,TTD,2024-4-1,0.0,2024-4-2,0.0,-0.7973459065127068
54,ABNB,PANW,2024-4-1,0.0,2024-4-2,0.0,-1.7629218181021824
55,DASH,KLAC,2024-4-1,0.0,2024-4-2,0.0,-5.160456022759963
56,GOOG,MRNA,2024-4-1,0.0,2024-4-2,0.0,-0.6964771365824524
57,GOOGL,MRNA,2024-4-1,0.0,2024-4-2,0.0,-0.7016922011646363
58,ADSK,TMUS,2024-4-1,0.0,2024-4-2,0.0,-0.6254189670618981
59,AMAT,MAR,2024-4-1,0.0,2024-4-2,0.0,-1.219178943749383
60,DASH,PCAR,2024-4-1,0.0,2024-4-2,0.0,-0.8899379471509749
61,KLAC,PCAR,2024-4-1,0.0,2024-4-2,0.0,-0.1721896753143949
62,MCHP,ORLY,2024-4-1,0.0,2024-4-2,0.0,-12.606205574827351
63,ABNB,FAST,2024-4-1,0.0,2024-4-2,0.0,-0.4636582370948788
64,MCHP,NFLX,2024-4-1,0.0,2024-4-2,0.0,-6.882712555347594
65,MELI,ORLY,2024-4-1,0.0,2024-4-2,0.0,-0.7222499643828078
