,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,HON,TSLA,2024-3-26,0.0,2024-3-27,0.0,-0.882056842627261
1,ABNB,AVGO,2024-3-26,0.0,2024-3-27,0.0,-7.95895163472547
2,GOOG,GOOGL,2024-3-26,0.0,2024-3-27,0.0,-0.9859936578085455
3,GOOG,GOOGL,2024-3-26,0.0,2024-3-27,0.0,-0.9859936578085455
4,MRNA,TTWO,2024-3-26,0.0,2024-3-27,0.0,-1.4165881739999033
5,DASH,FAST,2024-3-26,0.0,2024-3-27,0.0,-0.5677773519891353
6,AMAT,LIN,2024-3-26,0.0,2024-3-27,0.0,-2.2563939428682653
7,ABNB,KLAC,2024-3-26,0.0,2024-3-27,0.0,-4.226526870606225
8,TTD,VRSK,2024-3-26,0.0,2024-3-27,0.0,-2.8280881433791443
9,NXPI,WDAY,2024-3-26,0.0,2024-3-27,0.0,-1.1372419592284815
10,NXPI,WDAY,2024-3-26,0.0,2024-3-27,0.0,-1.1372419592284815
11,GFS,ZS,2024-3-26,0.0,2024-3-27,0.0,-3.816982658553741
12,GFS,ZS,2024-3-26,0.0,2024-3-27,0.0,-3.816982658553741
13,ADI,CCEP,2024-3-26,0.0,2024-3-27,0.0,-0.36566210507796204
14,AVGO,LRCX,2024-3-26,0.0,2024-3-27,0.0,-0.7277877960586338
15,AVGO,LRCX,2024-3-26,0.0,2024-3-27,0.0,-0.7277877960586338
16,GOOG,TTWO,2024-3-26,0.0,2024-3-27,0.0,-1.0069675395788091
17,GOOG,TTWO,2024-3-26,0.0,2024-3-27,0.0,-1.0069675395788091
18,GFS,SBUX,2024-3-26,0.0,2024-3-27,0.0,-1.7183088861647042
19,GOOGL,TTWO,2024-3-26,0.0,2024-3-27,0.0,-1.0143140106173623
20,GOOGL,TTWO,2024-3-26,0.0,2024-3-27,0.0,-1.0143140106173623
21,CTAS,VRTX,2024-3-26,-1.0,2024-3-27,1.0,-0.6550648482459894
22,ADSK,KLAC,2024-3-26,0.0,2024-3-27,0.0,-2.6606500346544606
23,ADSK,KLAC,2024-3-26,0.0,2024-3-27,0.0,-2.6606500346544606
24,PYPL,TTWO,2024-3-26,0.0,2024-3-27,0.0,-2.3237568798924793
25,ADI,MDLZ,2024-3-26,0.0,2024-3-27,0.0,-0.369434256758048
26,GFS,INTC,2024-3-26,0.0,2024-3-27,0.0,-0.8050886783390715
27,GFS,INTC,2024-3-26,0.0,2024-3-27,0.0,-0.8050886783390715
28,ADSK,FAST,2024-3-26,0.0,2024-3-27,0.0,-0.29071843740543796
29,GFS,TEAM,2024-3-26,0.0,2024-3-27,0.0,-3.733384432333178
30,GFS,TEAM,2024-3-26,0.0,2024-3-27,0.0,-3.733384432333178
31,MCHP,MNST,2024-3-26,0.0,2024-3-27,0.0,-0.6679004153728402
32,IDXX,MDLZ,2024-3-26,0.0,2024-3-27,0.0,-0.13198825156237814
33,ADSK,TMUS,2024-3-26,0.0,2024-3-27,0.0,-0.6237443563068141
34,CEG,FANG,2024-3-26,0.0,2024-3-27,0.0,-1.0872428288262403
35,ADSK,FANG,2024-3-26,0.0,2024-3-27,0.0,-0.7220950836104371
