,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,COST,DG,2023-8-17,0.0,2023-8-18,-1.0,-0.2975174088599066
1,HST,WELL,2023-8-17,0.0,2023-8-18,1.0,-4.6470911550405
2,DFS,PGR,2023-8-17,-1.0,2023-8-18,0.0,-1.249814154083586
3,DFS,ICE,2023-8-17,-1.0,2023-8-18,0.0,-1.1137255260553696
