,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,KVUE,SEDG,2023-11-22,-1.0,2023-11-24,0.0,-3.688042516738209
1,KVUE,TECH,2023-11-22,-1.0,2023-11-24,0.0,-2.9778516938120725
2,KVUE,TFX,2023-11-22,0.0,2023-11-24,1.0,-10.055690257388749
3,KVUE,ZBH,2023-11-22,0.0,2023-11-24,1.0,-5.335870502073697
4,KVUE,PSX,2023-11-22,-1.0,2023-11-24,0.0,-5.699212105692179
5,KVUE,NOC,2023-11-22,-1.0,2023-11-24,0.0,-23.091692739958088
6,KVUE,PODD,2023-11-22,-1.0,2023-11-24,0.0,-7.778750669065225
7,KVUE,PAYX,2023-11-22,0.0,2023-11-24,1.0,-5.715487515933372
8,KVUE,ODFL,2023-11-22,0.0,2023-11-24,1.0,-19.77137211284729
9,PFG,TEL,2023-11-22,0.0,2023-11-24,1.0,-1.770680790709084
10,FITB,RL,2023-11-22,0.0,2023-11-24,-1.0,-4.4155604631621665
11,AIG,ROP,2023-11-22,0.0,2023-11-24,1.0,-7.972221376726555
12,CRM,RCL,2023-11-22,0.0,2023-11-24,1.0,-0.45162027516621756
13,FITB,XYL,2023-11-22,0.0,2023-11-24,-1.0,-3.6375906530649003
