,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,GEHC,WAT,2023-9-12,1.0,2023-9-13,0.0,-3.901851038116266
1,GEHC,OGN,2023-9-12,1.0,2023-9-13,0.0,-0.2983228605774013
2,GS,USB,2023-9-12,0.0,2023-9-13,1.0,-0.11087949881894493
3,GNRC,IEX,2023-9-12,1.0,2023-9-13,0.0,-1.8710870828283008
4,AMT,ARE,2023-9-12,1.0,2023-9-13,0.0,-0.6381184018165895
