,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,AMD,FAST,2024-2-28,-1.0,2024-2-29,0.0,-0.40454031634172904
1,WBD,XEL,2024-2-28,-1.0,2024-2-29,0.0,-5.646242724533812
2,PYPL,XEL,2024-2-28,0.0,2024-2-29,1.0,-0.9665338188634477
3,MNST,NXPI,2024-2-28,-1.0,2024-2-29,0.0,-4.1011238471085845
4,ABNB,VRSK,2024-2-28,0.0,2024-2-29,1.0,-1.6125919496285201
5,TXN,XEL,2024-2-28,0.0,2024-2-29,1.0,-0.356357072710388
6,EA,ILMN,2024-2-28,1.0,2024-2-29,0.0,-0.9786883702589363
7,MCHP,PCAR,2024-2-28,-1.0,2024-2-29,0.0,-1.2774743886406714
8,AEP,DLTR,2024-2-28,0.0,2024-2-29,1.0,-1.7460268081166026
