,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,HWM,LEN,2024-2-9,1.0,2024-2-12,0.0,-2.6170318254258906
1,IRM,V,2024-2-9,-1.0,2024-2-12,0.0,-3.922378008597168
2,CRL,KIM,2024-2-9,0.0,2024-2-12,1.0,-0.09222055009603033
3,OXY,PTC,2024-2-9,0.0,2024-2-12,1.0,-3.03699189000181
4,TSN,VFC,2024-2-9,0.0,2024-2-12,-1.0,-0.29384705109953624
5,UDR,ZBRA,2024-2-9,0.0,2024-2-12,-1.0,-6.649176067027156
6,ED,PPG,2024-2-9,1.0,2024-2-12,0.0,-1.5486721099178342
7,ED,NKE,2024-2-9,0.0,2024-2-12,-1.0,-1.1286910418852807
8,DVN,MSFT,2024-2-9,-1.0,2024-2-12,0.0,-9.391510829737532
9,OXY,PSX,2024-2-9,-1.0,2024-2-12,0.0,-2.4039135871168065
10,LH,REG,2024-2-9,0.0,2024-2-12,1.0,-0.27864857581144936
11,IVZ,KHC,2024-2-9,-1.0,2024-2-12,0.0,-2.161367265448758
12,OXY,PG,2024-2-9,-1.0,2024-2-12,0.0,-2.626180148163909
13,ADSK,NDSN,2024-2-9,1.0,2024-2-12,0.0,-1.006701685009291
14,MLM,UBER,2024-2-9,-1.0,2024-2-12,0.0,-0.13075007856227167
15,IRM,LEN,2024-2-9,1.0,2024-2-12,0.0,-2.191725777434566
16,AZO,VFC,2024-2-9,1.0,2024-2-12,-1.0,-0.006039842711679064
17,KMI,MET,2024-2-9,1.0,2024-2-12,0.0,-3.7372141977217015
18,ATO,SPGI,2024-2-9,0.0,2024-2-12,1.0,-3.8768163686533907
19,ATO,LOW,2024-2-9,0.0,2024-2-12,-1.0,-1.9047418689599878
20,HWM,NVR,2024-2-9,1.0,2024-2-12,0.0,-124.65804322432305
21,OXY,SCHW,2024-2-9,1.0,2024-2-12,0.0,-1.062760035267396
22,OXY,TRMB,2024-2-9,0.0,2024-2-12,-1.0,-0.8687147436753951
23,FANG,REGN,2024-2-9,0.0,2024-2-12,1.0,-6.054575455413572
24,TDG,V,2024-2-9,1.0,2024-2-12,0.0,-0.24914396426429156
25,ED,LKQ,2024-2-9,0.0,2024-2-12,-1.0,-0.5194641546394826
26,PHM,TDG,2024-2-9,-1.0,2024-2-12,0.0,-10.367165332599285
27,CNP,MHK,2024-2-9,0.0,2024-2-12,-1.0,-3.585676012340064
28,CNP,NTRS,2024-2-9,1.0,2024-2-12,0.0,-2.73901142746141
29,ED,NRG,2024-2-9,0.0,2024-2-12,1.0,-0.5773645155929491
