,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,GEHC,ISRG,2023-9-14,0.0,2023-9-15,1.0,-4.387544340123116
1,AMCR,AMZN,2023-9-14,-1.0,2023-9-15,0.0,-13.387175701136467
