,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,AIZ,AMP,2023-9-27,1.0,2023-9-28,0.0,-2.3577453666471473
1,AIZ,BAC,2023-9-27,1.0,2023-9-28,0.0,-0.19680838616732146
2,AIZ,SPGI,2023-9-27,1.0,2023-9-28,0.0,-2.6507984557381654
3,CCL,KMX,2023-9-27,0.0,2023-9-28,1.0,-4.94804156423242
