,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,HES,MPC,2023-9-20,0.0,2023-9-21,-1.0,-0.950700741799963
1,PLD,SPG,2023-9-20,1.0,2023-9-21,0.0,-0.9314025003131531
2,HES,VLO,2023-9-20,0.0,2023-9-21,-1.0,-0.8834470867718293
