,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,CCL,KMX,2023-10-2,1.0,2023-10-3,0.0,-4.89827081801863
1,L,ZION,2023-10-2,-1.0,2023-10-3,0.0,-0.5377495737105888
