,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,FSLR,SJM,2023-12-14,-1.0,2023-12-15,0.0,-0.7681702017199202
1,DOW,TSN,2023-12-14,-1.0,2023-12-15,0.0,-0.9341366647640217
2,IQV,NDSN,2023-12-14,1.0,2023-12-15,0.0,-1.1032233784203638
3,ROL,XYL,2023-12-14,0.0,2023-12-15,-1.0,-2.484115764968125
4,FSLR,KR,2023-12-14,0.0,2023-12-15,1.0,-0.28844992260117397
5,FE,IFF,2023-12-14,0.0,2023-12-15,-1.0,-1.94782084231543
6,COST,PCAR,2023-12-14,0.0,2023-12-15,1.0,-0.14954609718190215
7,AMP,APH,2023-12-14,0.0,2023-12-15,-1.0,-0.25882179536052163
8,EBAY,FTNT,2023-12-14,0.0,2023-12-15,-1.0,-1.2745095678476477
9,ELV,KMI,2023-12-14,0.0,2023-12-15,-1.0,-0.036601481470221804
10,CTSH,ETN,2023-12-14,0.0,2023-12-15,1.0,-3.2056126351008496
11,AEE,HOLX,2023-12-14,0.0,2023-12-15,-1.0,-0.8992415254053798
12,FDS,MOH,2023-12-14,-1.0,2023-12-15,1.0,-0.8063728613301423
13,AEP,IFF,2023-12-14,1.0,2023-12-15,0.0,-0.9302456692987788
14,EXC,GOOG,2023-12-14,0.0,2023-12-15,-1.0,-3.3505080388282087
15,EXC,GOOGL,2023-12-14,0.0,2023-12-15,-1.0,-3.3146462089856215
16,CEG,KMB,2023-12-14,-1.0,2023-12-15,0.0,-1.0042913942014065
17,AKAM,KMB,2023-12-14,0.0,2023-12-15,1.0,-1.0446685217742502
18,CBRE,PWR,2023-12-14,-1.0,2023-12-15,0.0,-2.3646180710225644
19,ITW,JKHY,2023-12-14,0.0,2023-12-15,1.0,-0.6475411934205081
20,AVB,BBY,2023-12-14,1.0,2023-12-15,0.0,-0.4047322928450915
21,FSLR,PSA,2023-12-14,-1.0,2023-12-15,0.0,-1.7448968219527916
22,CEG,WEC,2023-12-14,-1.0,2023-12-15,0.0,-0.6940616485842682
23,BBY,LUV,2023-12-14,-1.0,2023-12-15,0.0,-0.37532365398512174
24,AEE,CEG,2023-12-14,1.0,2023-12-15,0.0,-1.5177962471260569
25,FSLR,MKC,2023-12-14,0.0,2023-12-15,1.0,-0.43387543389540606
26,ATO,ROL,2023-12-14,-1.0,2023-12-15,0.0,-0.3580824766092413
27,LULU,STLD,2023-12-14,1.0,2023-12-15,-1.0,-0.24834109979148739
28,MTB,WFC,2023-12-14,0.0,2023-12-15,-1.0,-0.3431999781415322
29,CAH,MSFT,2023-12-14,0.0,2023-12-15,-1.0,-3.470617153487866
30,ANET,WRB,2023-12-14,0.0,2023-12-15,1.0,-0.32091146614384286
31,BALL,MCD,2023-12-14,0.0,2023-12-15,1.0,-5.032714712165212
32,HAL,VRSN,2023-12-14,0.0,2023-12-15,1.0,-5.558281781960596
33,ENPH,K,2023-12-14,0.0,2023-12-15,1.0,-0.5058151712132615
34,DOW,EIX,2023-12-14,0.0,2023-12-15,1.0,-1.2856856887651296
35,CTSH,IRM,2023-12-14,0.0,2023-12-15,1.0,-0.9015128307953283
36,LRCX,TTWO,2023-12-14,0.0,2023-12-15,1.0,-0.21789899582420222
37,GPC,K,2023-12-14,0.0,2023-12-15,1.0,-0.3887048888568865
38,CHTR,VRSN,2023-12-14,0.0,2023-12-15,1.0,-0.5487409982731293
39,MS,ZBRA,2023-12-14,0.0,2023-12-15,-1.0,-2.833499644669501
40,CTSH,IR,2023-12-14,0.0,2023-12-15,1.0,-1.0025695853473682
41,CTVA,MOH,2023-12-14,0.0,2023-12-15,1.0,-7.826187197556991
