,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,CEG,IT,2024-1-11,1.0,2024-1-12,0.0,-3.738008781162325
1,CEG,UAL,2024-1-11,-1.0,2024-1-12,1.0,-0.3520164639683947
2,CEG,SPGI,2024-1-11,1.0,2024-1-12,0.0,-3.6322799047555483
3,CEG,RL,2024-1-11,0.0,2024-1-12,1.0,-1.1949800721809969
4,CEG,WELL,2024-1-11,0.0,2024-1-12,-1.0,-0.7577591724136404
5,CEG,WFC,2024-1-11,0.0,2024-1-12,1.0,-0.4078475544416798
6,CEG,WHR,2024-1-11,-1.0,2024-1-12,0.0,-0.9852754034250033
7,CEG,CTSH,2024-1-11,0.0,2024-1-12,-1.0,-0.6212205162580071
8,CEG,DAL,2024-1-11,0.0,2024-1-12,1.0,-0.34063557918443815
9,CEG,EXPD,2024-1-11,1.0,2024-1-12,0.0,-1.0568424150271836
10,TXN,UAL,2024-1-11,-1.0,2024-1-12,1.0,-0.2509105185478387
11,PGR,WHR,2024-1-11,0.0,2024-1-12,1.0,-0.7186198551326392
