,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,GOOG,GOOGL,2024-3-21,0.0,2024-3-22,0.0,-0.9857447540089239
1,HON,TSLA,2024-3-21,0.0,2024-3-22,0.0,-0.8879559939420198
2,GFS,PEP,2024-3-21,0.0,2024-3-22,0.0,-3.11771730319333
3,GOOG,TTWO,2024-3-21,0.0,2024-3-22,0.0,-1.024294808794188
4,GOOGL,TTWO,2024-3-21,0.0,2024-3-22,0.0,-1.0319290672129962
5,MCHP,MNST,2024-3-21,0.0,2024-3-22,0.0,-0.6675851495470618
6,GFS,SBUX,2024-3-21,0.0,2024-3-22,0.0,-1.713968354917913
7,TTD,VRSK,2024-3-21,0.0,2024-3-22,0.0,-2.899832339569891
8,AMAT,LIN,2024-3-21,0.0,2024-3-22,0.0,-2.263657633405987
9,MNST,NFLX,2024-3-21,1.0,2024-3-22,0.0,-10.113220745751201
10,ADSK,FAST,2024-3-21,0.0,2024-3-22,0.0,-0.2896249937353327
11,ADI,MDLZ,2024-3-21,0.0,2024-3-22,0.0,-0.3705472334655682
12,NFLX,VRTX,2024-3-21,0.0,2024-3-22,0.0,-0.6840098651335584
13,CTAS,VRTX,2024-3-21,0.0,2024-3-22,0.0,-0.6612575829486644
14,ADI,CCEP,2024-3-21,0.0,2024-3-22,0.0,-0.3632444991425651
15,AMAT,AVGO,2024-3-21,0.0,2024-3-22,0.0,-6.363116304484678
16,DASH,FAST,2024-3-21,0.0,2024-3-22,0.0,-0.5738777041158318
17,ADSK,TMUS,2024-3-21,0.0,2024-3-22,0.0,-0.6266645026216071
18,SNPS,VRTX,2024-3-21,0.0,2024-3-22,0.0,-0.7228898058395192
19,AVGO,LRCX,2024-3-21,0.0,2024-3-22,0.0,-0.7286041804977588
20,ADSK,KLAC,2024-3-21,0.0,2024-3-22,0.0,-2.6635510770151396
21,AMAT,MAR,2024-3-21,0.0,2024-3-22,0.0,-1.2288068674248989
22,IDXX,MDLZ,2024-3-21,0.0,2024-3-22,0.0,-0.1321379078086127
23,GFS,INTC,2024-3-21,0.0,2024-3-22,0.0,-0.8040817828577691
24,LRCX,NXPI,2024-3-21,0.0,2024-3-22,0.0,-0.2578901099325628
25,CEG,FANG,2024-3-21,0.0,2024-3-22,0.0,-1.1034239296934465
26,LULU,WDAY,2024-3-21,1.0,2024-3-22,-1.0,-0.604322028968806
27,GFS,HON,2024-3-21,0.0,2024-3-22,0.0,-3.7024965242022496
28,AMAT,NXPI,2024-3-21,0.0,2024-3-22,0.0,-1.1961268586420355
29,GFS,TEAM,2024-3-21,0.0,2024-3-22,0.0,-3.766470736182907
30,FAST,MAR,2024-3-21,0.0,2024-3-22,0.0,-3.2837149762180524
31,CTAS,KLAC,2024-3-21,0.0,2024-3-22,0.0,-1.0959455195800534
32,DDOG,MRVL,2024-3-21,0.0,2024-3-22,0.0,-0.5545450494917921
33,VRTX,WDAY,2024-3-21,0.0,2024-3-22,0.0,-0.6650866329253831
34,ISRG,KLAC,2024-3-21,0.0,2024-3-22,0.0,-1.769669720015697
35,WBD,XEL,2024-3-21,0.0,2024-3-22,0.0,-5.5537783810418135
36,LULU,PANW,2024-3-21,1.0,2024-3-22,0.0,-0.6396832754135742
37,ADSK,FANG,2024-3-21,0.0,2024-3-22,0.0,-0.7131621754161441
38,LULU,ROP,2024-3-21,1.0,2024-3-22,-1.0,-1.1964877078404783
39,ADSK,REGN,2024-3-21,0.0,2024-3-22,0.0,-3.7257505660063104
40,MRNA,TTWO,2024-3-21,0.0,2024-3-22,0.0,-1.4471437299804388
41,ANSS,MDLZ,2024-3-21,0.0,2024-3-22,0.0,-0.21270431539547094
42,GFS,SIRI,2024-3-21,0.0,2024-3-22,0.0,-0.0776555092490337
43,EXC,WBD,2024-3-21,0.0,2024-3-22,0.0,-0.22562510262536498
44,AMAT,NVDA,2024-3-21,0.0,2024-3-22,0.0,-4.256727596268207
45,FANG,XEL,2024-3-21,0.0,2024-3-22,0.0,-0.282912232125626
46,BKNG,WDAY,2024-3-21,0.0,2024-3-22,0.0,-0.0784706105091836
