,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,GILD,HUBB,2023-11-7,0.0,2023-11-8,-1.0,-3.5941206318186283
1,AES,EXR,2023-11-7,0.0,2023-11-8,-1.0,-7.076612736425144
2,GS,UAL,2023-11-7,0.0,2023-11-8,-1.0,-0.11856969884262068
3,ELV,KEY,2023-11-7,-1.0,2023-11-8,0.0,-0.023497284695786574
4,HST,UAL,2023-11-7,0.0,2023-11-8,-1.0,-2.17928139949472
5,GILD,VMC,2023-11-7,0.0,2023-11-8,-1.0,-2.5719585485663945
6,GILD,VRSK,2023-11-7,0.0,2023-11-8,-1.0,-2.9246559310642017
7,ELV,HBAN,2023-11-7,-1.0,2023-11-8,0.0,-0.022229876843349
8,GRMN,MOS,2023-11-7,1.0,2023-11-8,0.0,-0.3067184295949973
9,ADSK,PODD,2023-11-7,-1.0,2023-11-8,0.0,-0.7190374682123003
10,GS,TPR,2023-11-7,1.0,2023-11-8,0.0,-0.08879575980280535
11,GILD,SHW,2023-11-7,0.0,2023-11-8,-1.0,-3.093077250120495
12,HST,HSY,2023-11-7,1.0,2023-11-8,0.0,-11.225606115822538
13,GS,MAA,2023-11-7,1.0,2023-11-8,0.0,-0.395460818969422
14,GILD,NFLX,2023-11-7,0.0,2023-11-8,-1.0,-5.150866713062349
15,HST,MGM,2023-11-7,0.0,2023-11-8,-1.0,-2.146728329839126
16,HST,LUV,2023-11-7,0.0,2023-11-8,-1.0,-1.413602351453658
17,PODD,PSA,2023-11-7,1.0,2023-11-8,0.0,-1.6949521656374011
18,HST,MSCI,2023-11-7,0.0,2023-11-8,-1.0,-29.173251276272588
19,COF,ROK,2023-11-7,1.0,2023-11-8,0.0,-2.6707493837297287
20,GS,NCLH,2023-11-7,1.0,2023-11-8,0.0,-0.04466447742983145
21,HST,HUM,2023-11-7,1.0,2023-11-8,0.0,-29.897862285381123
22,HIG,KR,2023-11-7,0.0,2023-11-8,1.0,-0.6094318863794254
23,AMP,CSCO,2023-11-7,1.0,2023-11-8,0.0,-0.16285553397800293
24,CFG,MOS,2023-11-7,1.0,2023-11-8,0.0,-1.3321631679339354
25,BK,CMA,2023-11-7,-1.0,2023-11-8,0.0,-0.9209832512974802
26,STX,TFX,2023-11-7,-1.0,2023-11-8,0.0,-2.7871616579422143
27,GS,MKTX,2023-11-7,1.0,2023-11-8,0.0,-0.7064124206380658
28,AXON,EXPE,2023-11-7,-1.0,2023-11-8,0.0,-0.48289834240035406
29,BIIB,CDW,2023-11-7,0.0,2023-11-8,-1.0,-0.8247161622193779
30,HBAN,UDR,2023-11-7,1.0,2023-11-8,0.0,-3.1359695879283245
31,HST,IDXX,2023-11-7,0.0,2023-11-8,-1.0,-24.812919710548883
32,HST,TER,2023-11-7,0.0,2023-11-8,-1.0,-5.307604738738591
33,KMI,LW,2023-11-7,0.0,2023-11-8,-1.0,-5.160773969506345
34,AWK,MAA,2023-11-7,1.0,2023-11-8,0.0,-1.0047040269248337
35,CMCSA,MKTX,2023-11-7,0.0,2023-11-8,-1.0,-5.015209766046139
36,AXON,LYV,2023-11-7,-1.0,2023-11-8,0.0,-0.38861789325405927
37,KMI,WST,2023-11-7,0.0,2023-11-8,-1.0,-20.25647884607407
38,BAC,UAL,2023-11-7,0.0,2023-11-8,-1.0,-1.3291328260718096
39,KMI,MKTX,2023-11-7,0.0,2023-11-8,-1.0,-12.342465423332103
40,T,TTWO,2023-11-7,0.0,2023-11-8,-1.0,-8.728510350697281
41,GILD,TAP,2023-11-7,0.0,2023-11-8,-1.0,-0.7398189613318965
42,AXON,DAL,2023-11-7,-1.0,2023-11-8,0.0,-0.15577374446513131
