Date,y,x,hr,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,port rets,cum rets,X_sell_price,Y_Buy_price,X_Buy_price,Y_sell_price
2022-06-09 00:00:00,176.92196655273438,68.6500015258789,-2.400558830178324,12.123599198030348,-0.834,False,False,1.0,False,False,0.0,1.0,0.0540429346163068,0.0540429346163068,1.0231993756056086,68.6500015258789,176.92196655273438,,
2022-06-10 00:00:00,171.4957733154297,62.18000030517578,-2.423828993645075,20.782085750885017,-0.128,False,False,1.0,False,False,0.0,1.0,0.026872229416255486,0.026872229416255486,1.050071605021864,62.18000030517578,171.4957733154297,,
2022-06-13 00:00:00,161.8439178466797,58.380001068115234,-2.4482364215113064,18.915872943851014,-0.272,False,False,1.0,False,False,0.0,1.0,-0.006123308686920919,-0.006123308686920919,1.0439482963349431,58.380001068115234,161.8439178466797,,
2022-06-14 00:00:00,162.4375,58.459999084472656,-2.4721173256524263,17.917523405650172,-0.334,False,False,1.0,False,False,0.0,1.0,-0.0032524033924092336,-0.0032524033924092336,1.0406958929425338,58.459999084472656,162.4375,,
2022-06-15 00:00:00,163.0648956298828,63.619998931884766,-2.481841716681509,5.170128265498164,-1.274,False,False,1.0,False,False,0.0,1.0,-0.03971650213372665,-0.03971650213372665,1.0009793908088072,63.619998931884766,163.0648956298828,,
2022-06-16 00:00:00,152.81423950195312,58.380001068115234,-2.4907466063026233,7.404449965601572,-1.041,False,False,1.0,False,False,0.0,1.0,0.007492091456575504,0.007492091456575504,1.0084714822653826,58.380001068115234,152.81423950195312,,
2022-06-17 00:00:00,152.34127807617188,61.689998626708984,-2.489701017161141,-1.2483742534148803,-1.587,True,False,1.0,False,False,0.0,1.0,-0.028283587434392923,-0.028283587434392923,0.9801878948309898,61.689998626708984,152.34127807617188,,
2022-06-21 00:00:00,153.55746459960938,63.06999969482422,-2.4840806884759123,-3.1135036644851652,-1.599,False,False,1.0,False,False,0.0,1.0,-0.006012116277845213,-0.006012116277845213,0.9741757785531445,63.06999969482422,153.55746459960938,,
2022-06-22 00:00:00,151.49188232421875,65.1500015258789,-2.470040986071066,-9.431291687294646,-1.881,False,False,1.0,False,False,0.0,1.0,-0.02022241852524599,-0.02022241852524599,0.9539533600278985,65.1500015258789,151.49188232421875,,
2022-06-23 00:00:00,148.1715087890625,70.2699966430664,-2.4380414288650245,-23.14965423293961,-2.479,False,False,1.0,False,False,0.0,1.0,-0.04293795681723011,-0.04293795681723011,0.9110154032106684,70.2699966430664,148.1715087890625,,
2022-06-24 00:00:00,153.7794647216797,74.11000061035156,-2.4005903917330444,-24.128290674860324,-2.286,False,False,1.0,False,False,0.0,1.0,-0.00295047979711702,-0.00295047979711702,0.9080649234135514,74.11000061035156,153.7794647216797,,
2022-06-27 00:00:00,153.33546447753906,71.19999694824219,-2.371977597830515,-15.54933324929246,-1.656,False,False,1.0,False,False,0.0,1.0,0.02662451258303116,0.02662451258303116,0.9346894359965826,71.19999694824219,153.33546447753906,,
2022-06-28 00:00:00,148.8568115234375,67.44999694824219,-2.35217764641518,-9.79756354898987,-1.263,False,False,1.0,False,False,0.0,1.0,0.018704261669223884,0.018704261669223884,0.9533936976658065,67.44999694824219,148.8568115234375,,
2022-06-29 00:00:00,144.80288696289062,67.41999816894531,-2.3315247883919508,-12.38851000134531,-1.344,False,False,1.0,False,False,0.0,1.0,-0.008579455275321215,-0.008579455275321215,0.9448142423904853,67.41999816894531,144.80288696289062,,
2022-06-30 00:00:00,142.882080078125,64.16999816894531,-2.3181001281372904,-5.870400899876813,-0.915,False,False,1.0,False,False,0.0,1.0,0.02235026286961252,0.02235026286961252,0.9671645052600978,64.16999816894531,142.882080078125,,
2022-07-01 00:00:00,141.00955200195312,67.94999694824219,-2.2959172083455823,-14.998015298545909,-1.42,False,False,1.0,False,False,0.0,1.0,-0.030730937058797803,-0.030730937058797803,0.9364335682013,67.94999694824219,141.00955200195312,,
