Date,y,x,hr,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,port rets,cum rets
2022-03-28 00:00:00,305.7412109375,55.773433685302734,-5.718190012259597,-13.181880511221038,-0.8,False,False,0.0,False,False,0.0,0.0,-0.012964538562572634,-0.0,1.0
2022-03-29 00:00:00,310.3760986328125,55.33140563964844,-5.692217650512084,-4.58230517683819,-0.188,False,False,0.0,False,False,0.0,0.0,0.013751960432047475,0.0,1.0
2022-03-30 00:00:00,308.85076904296875,56.48066329956055,-5.660294931296733,-10.846443147811215,-0.574,False,False,0.0,False,True,0.0,0.0,-0.009966045803977332,-0.0,1.0
2022-03-31 00:00:00,303.38934326171875,55.25282669067383,-5.630821315749322,-7.729451023530487,-0.331,False,False,0.0,False,False,0.0,0.0,0.005072336611722233,0.0,1.0
2022-04-01 00:00:00,304.48162841796875,56.99144744873047,-5.593573688260724,-14.304232487143793,-0.765,False,False,0.0,False,False,0.0,0.0,-0.010548892050753439,-0.0,1.0
2022-04-04 00:00:00,309.94305419921875,57.34506607055664,-5.561099515830896,-8.958564961044488,-0.389,False,False,0.0,False,False,0.0,0.0,0.008500775712293311,0.0,1.0
2022-04-05 00:00:00,305.9183654785156,57.954071044921875,-5.523505874363379,-14.191286381382952,-0.713,False,False,0.0,False,False,0.0,0.0,-0.008358605805832158,-0.0,1.0
2022-04-06 00:00:00,294.7199401855469,58.54343795776367,-5.46983167868422,-25.502811334913076,-1.389,False,False,0.0,False,False,0.0,0.0,-0.018394437572953486,-0.0,1.0
2022-04-07 00:00:00,296.5600891113281,59.83021545410156,-5.409410611864691,-27.0861132762397,-1.398,False,False,0.0,False,False,0.0,0.0,-0.0025528633988864376,-0.0,1.0
2022-04-08 00:00:00,292.2303466796875,62.885074615478516,-5.327049184757174,-42.761538784091385,-2.173,True,False,1.0,False,False,0.0,1.0,-0.024991820609232166,-0.0,1.0
2022-04-11 00:00:00,280.70721435546875,59.60429000854492,-5.252364932084885,-32.35626828723008,-1.449,False,False,1.0,False,False,0.0,1.0,0.017524055244668664,0.017524055244668664,1.0175240552446687
2022-04-12 00:00:00,277.5583190917969,60.773197174072266,-5.174481845074278,-36.91148635255951,-1.611,True,False,1.0,False,False,0.0,1.0,-0.007694259574067338,-0.007694259574067338,1.0098297956706013
2022-04-13 00:00:00,283.0295715332031,63.061893463134766,-5.094367018179442,-38.23085862933635,-1.592,False,False,1.0,False,False,0.0,1.0,-0.002183342886816692,-0.002183342886816692,1.0076464527837847
2022-04-14 00:00:00,275.3638916015625,61.441139221191406,-5.020796322027412,-33.11955422136947,-1.236,False,False,1.0,False,False,0.0,1.0,0.008754522081943892,0.008754522081943892,1.0164009748657286
2022-04-18 00:00:00,276.0428771972656,62.18767547607422,-4.951070959463416,-31.852716888860698,-1.095,False,False,1.0,False,False,0.0,1.0,0.002169470577481375,0.002169470577481375,1.0185704454432098
2022-04-19 00:00:00,280.7466125488281,65.52738952636719,-4.8742561503023145,-38.65066886332261,-1.42,False,False,1.0,False,False,0.0,1.0,-0.011327203430489138,-0.011327203430489138,1.0072432420127209
2022-04-20 00:00:00,281.7896728515625,64.25045013427734,-4.8103139496984415,-27.275163703755936,-0.691,False,False,1.0,False,False,0.0,1.0,0.019252633226047096,0.019252633226047096,1.0264958752387678
2022-04-21 00:00:00,276.3282470703125,61.559017181396484,-4.763281440541425,-16.89467696780406,-0.055,False,False,1.0,False,False,0.0,1.0,0.01822573152777466,0.01822573152777466,1.0447216067665426
2022-04-22 00:00:00,269.65643310546875,61.323272705078125,-4.717719163197284,-19.64954568525127,-0.232,False,False,1.0,False,True,0.0,1.0,-0.00492854020022879,-0.00492854020022879,1.0397930665663138
2022-04-25 00:00:00,276.2397155761719,61.16611099243164,-4.684171177625599,-10.27281858202474,0.3,False,True,0.0,False,False,0.0,0.0,0.01666226498010901,0.01666226498010901,1.0564553315464227
2022-04-26 00:00:00,265.90728759765625,58.887237548828125,-4.656484169735769,-8.300201847931703,0.38,False,False,0.0,False,False,0.0,0.0,0.0036522176728652996,0.0,1.0564553315464227
2022-04-27 00:00:00,278.6997985839844,59.024749755859375,-4.646010415449729,4.470196448947831,1.135,False,False,0.0,False,False,0.0,0.0,0.023095893038556286,0.0,1.0564553315464227
2022-04-28 00:00:00,285.00750732421875,60.22312545776367,-4.6415623035943225,5.478118394831313,1.135,False,False,0.0,False,False,0.0,0.0,0.0017853960521841497,0.0,1.0564553315464227
2022-04-29 00:00:00,273.09075927734375,58.16035461425781,-4.636314064751096,3.441089168348981,0.975,False,False,0.0,False,False,0.0,0.0,-0.003753229197952959,-0.0,1.0564553315464227
2022-05-02 00:00:00,279.9298400878906,57.16826248168945,-4.644266243540835,14.425208442298299,1.527,False,False,0.0,True,False,-1.0,-1.0,0.02013829312811845,0.0,1.0564553315464227
2022-05-03 00:00:00,277.28277587890625,58.64166259765625,-4.644303091010982,4.9331210145882665,0.936,False,False,0.0,False,False,-1.0,-1.0,-0.017269882373706802,0.017269882373706802,1.0737252139201297
2022-05-04 00:00:00,285.3519592285156,60.714263916015625,-4.640488224292463,3.6081324796602985,0.842,False,False,0.0,False,False,-1.0,-1.0,-0.0023364457428375943,0.0023364457428375943,1.076061659662967
2022-05-05 00:00:00,272.9234924316406,59.093509674072266,-4.630328829554199,-0.6988890517561686,0.605,False,False,0.0,False,False,-1.0,-1.0,-0.007880439203692552,0.007880439203692552,1.0839420988666597
